PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
RUS,1,1956,1956,1,1,294461,O,.,.,.,7,1
RUS,1,1956,1956,2,1,241272,O,.,.,.,7,1
RUS,1,1956,1956,3,1,252344,O,.,.,.,7,1
RUS,1,1956,1956,4,1,239466,O,.,.,.,7,1
RUS,1,1956,1956,5,1,233260,O,.,.,.,7,1
RUS,1,1956,1956,6,1,217554,O,.,.,.,7,1
RUS,1,1956,1956,7,1,226033,O,.,.,.,7,1
RUS,1,1956,1956,8,1,223690,O,.,.,.,7,1
RUS,1,1956,1956,9,1,210348,O,.,.,.,7,1
RUS,1,1956,1956,10,1,218330,O,.,.,.,7,1
RUS,1,1956,1956,11,1,215395,O,.,.,.,7,1
RUS,1,1956,1956,12,1,197167,O,.,.,.,7,1
RUS,1,1956,1956,UNK,1,0,O,.,.,.,7,1
RUS,1,1956,1956,TOT,1,2769320,O,.,.,.,7,1
RUS,1,1957,1957,1,1,290178,O,.,.,.,7,1
RUS,1,1957,1957,2,1,229414,O,.,.,.,7,1
RUS,1,1957,1957,3,1,258313,O,.,.,.,7,1
RUS,1,1957,1957,4,1,241065,O,.,.,.,7,1
RUS,1,1957,1957,5,1,236346,O,.,.,.,7,1
RUS,1,1957,1957,6,1,213227,O,.,.,.,7,1
RUS,1,1957,1957,7,1,230459,O,.,.,.,7,1
RUS,1,1957,1957,8,1,234806,O,.,.,.,7,1
RUS,1,1957,1957,9,1,227178,O,.,.,.,7,1
RUS,1,1957,1957,10,1,240303,O,.,.,.,7,1
RUS,1,1957,1957,11,1,229383,O,.,.,.,7,1
RUS,1,1957,1957,12,1,200926,O,.,.,.,7,1
RUS,1,1957,1957,UNK,1,0,O,.,.,.,7,1
RUS,1,1957,1957,TOT,1,2831598,O,.,.,.,7,1
RUS,1,1958,1958,1,1,294554,O,.,.,.,7,1
RUS,1,1958,1958,2,1,232751,O,.,.,.,7,1
RUS,1,1958,1958,3,1,251086,O,.,.,.,7,1
RUS,1,1958,1958,4,1,238452,O,.,.,.,7,1
RUS,1,1958,1958,5,1,239615,O,.,.,.,7,1
RUS,1,1958,1958,6,1,212919,O,.,.,.,7,1
RUS,1,1958,1958,7,1,210507,O,.,.,.,7,1
RUS,1,1958,1958,8,1,219301,O,.,.,.,7,1
RUS,1,1958,1958,9,1,232002,O,.,.,.,7,1
RUS,1,1958,1958,10,1,241332,O,.,.,.,7,1
RUS,1,1958,1958,11,1,234281,O,.,.,.,7,1
RUS,1,1958,1958,12,1,212408,O,.,.,.,7,1
RUS,1,1958,1958,UNK,1,0,O,.,.,.,7,1
RUS,1,1958,1958,TOT,1,2819208,O,.,.,.,7,1
RUS,1,1959,1959,1,1,289736,O,.,.,.,7,1
RUS,1,1959,1959,2,1,230352,O,.,.,.,7,1
RUS,1,1959,1959,3,1,252283,O,.,.,.,7,1
RUS,1,1959,1959,4,1,239995,O,.,.,.,7,1
RUS,1,1959,1959,5,1,234549,O,.,.,.,7,1
RUS,1,1959,1959,6,1,219438,O,.,.,.,7,1
RUS,1,1959,1959,7,1,232241,O,.,.,.,7,1
RUS,1,1959,1959,8,1,234885,O,.,.,.,7,1
RUS,1,1959,1959,9,1,222062,O,.,.,.,7,1
RUS,1,1959,1959,10,1,222876,O,.,.,.,7,1
RUS,1,1959,1959,11,1,210596,O,.,.,.,7,1
RUS,1,1959,1959,12,1,207215,O,.,.,.,7,1
RUS,1,1959,1959,UNK,1,0,O,.,.,.,7,1
RUS,1,1959,1959,TOT,1,2796228,O,.,.,.,7,1
RUS,1,1960,1960,1,1,280955,O,.,.,.,7,1
RUS,1,1960,1960,2,1,238607,O,.,.,.,7,1
RUS,1,1960,1960,3,1,258328,O,.,.,.,7,1
RUS,1,1960,1960,4,1,238177,O,.,.,.,7,1
RUS,1,1960,1960,5,1,237652,O,.,.,.,7,1
RUS,1,1960,1960,6,1,218852,O,.,.,.,7,1
RUS,1,1960,1960,7,1,229043,O,.,.,.,7,1
RUS,1,1960,1960,8,1,227627,O,.,.,.,7,1
RUS,1,1960,1960,9,1,219014,O,.,.,.,7,1
RUS,1,1960,1960,10,1,222339,O,.,.,.,7,1
RUS,1,1960,1960,11,1,215055,O,.,.,.,7,1
RUS,1,1960,1960,12,1,196704,O,.,.,.,7,1
RUS,1,1960,1960,UNK,1,0,O,.,.,.,7,1
RUS,1,1960,1960,TOT,1,2782353,O,.,.,.,7,1
RUS,1,1961,1961,1,1,265111,O,.,.,.,7,1
RUS,1,1961,1961,2,1,217249,O,.,.,.,7,1
RUS,1,1961,1961,3,1,242617,O,.,.,.,7,1
