PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
RUS,1,1946,1946,1,m,0,1,RR,1,O,106450,1,2,.,0
RUS,1,1946,1946,1,m,1,1,RR,1,O,21379,1,.,.,0
RUS,1,1946,1946,1,m,2,1,RR,1,O,8662,1,.,.,0
RUS,1,1946,1946,1,m,3,1,RR,1,O,5016,1,.,.,0
RUS,1,1946,1946,1,m,4,1,RR,1,O,5297,1,.,.,0
RUS,1,1946,1946,1,m,5,1,RR,1,O,6261,1,.,.,0
RUS,1,1946,1946,1,m,6,1,RR,1,O,5348,1,.,.,0
RUS,1,1946,1946,1,m,7,1,RR,1,O,5006,1,.,.,0
RUS,1,1946,1946,1,m,8,1,RR,1,O,4678,1,.,.,0
RUS,1,1946,1946,1,m,9,1,RR,1,O,3839,1,.,.,0
RUS,1,1946,1946,1,m,10,1,RR,1,O,3609,1,.,.,0
RUS,1,1946,1946,1,m,11,1,RR,1,O,2514,1,.,.,0
RUS,1,1946,1946,1,m,12,1,RR,1,O,2608,1,.,.,0
RUS,1,1946,1946,1,m,13,1,RR,1,O,2293,1,.,.,0
RUS,1,1946,1946,1,m,14,1,RR,1,O,2539,1,.,.,0
RUS,1,1946,1946,1,m,15,1,RR,1,O,3267,1,.,.,0
RUS,1,1946,1946,1,m,16,1,RR,1,O,3619,1,.,.,0
RUS,1,1946,1946,1,m,17,1,RR,1,O,3785,1,.,.,0
RUS,1,1946,1946,1,m,18,1,RR,1,O,4898,1,.,.,0
RUS,1,1946,1946,1,m,19,1,RR,1,O,4158,1,.,.,0
RUS,1,1946,1946,1,m,20,1,RR,1,O,4678,1,.,.,0
RUS,1,1946,1946,1,m,21,1,RR,1,O,3539,1,.,.,0
RUS,1,1946,1946,1,m,22,1,RR,1,O,3805,1,.,.,0
RUS,1,1946,1946,1,m,23,1,RR,1,O,3531,1,.,.,0
RUS,1,1946,1946,1,m,24,1,RR,1,O,2700,1,.,.,0
RUS,1,1946,1946,1,m,25,1,RR,1,O,3254,1,.,.,0
RUS,1,1946,1946,1,m,26,1,RR,1,O,2511,1,.,.,0
RUS,1,1946,1946,1,m,27,1,RR,1,O,2656,1,.,.,0
RUS,1,1946,1946,1,m,28,1,RR,1,O,3062,1,.,.,0
RUS,1,1946,1946,1,m,29,1,RR,1,O,2127,1,.,.,0
RUS,1,1946,1946,1,m,30,1,RR,1,O,4022,1,.,.,0
RUS,1,1946,1946,1,m,31,1,RR,1,O,3282,1,.,.,0
RUS,1,1946,1946,1,m,32,1,RR,1,O,4613,1,.,.,0
RUS,1,1946,1946,1,m,33,1,RR,1,O,4422,1,.,.,0
RUS,1,1946,1946,1,m,34,1,RR,1,O,4323,1,.,.,0
RUS,1,1946,1946,1,m,35,1,RR,1,O,5890,1,.,.,0
RUS,1,1946,1946,1,m,36,1,RR,1,O,4919,1,.,.,0
RUS,1,1946,1946,1,m,37,1,RR,1,O,4323,1,.,.,0
RUS,1,1946,1946,1,m,38,1,RR,1,O,5059,1,.,.,0
RUS,1,1946,1946,1,m,39,1,RR,1,O,4659,1,.,.,0
RUS,1,1946,1946,1,m,40,1,RR,1,O,6912,1,.,.,0
RUS,1,1946,1946,1,m,41,1,RR,1,O,4655,1,.,.,0
RUS,1,1946,1946,1,m,42,1,RR,1,O,6039,1,.,.,0
RUS,1,1946,1946,1,m,43,1,RR,1,O,5698,1,.,.,0
RUS,1,1946,1946,1,m,44,1,RR,1,O,4810,1,.,.,0
RUS,1,1946,1946,1,m,45,1,RR,1,O,6770,1,.,.,0
RUS,1,1946,1946,1,m,46,1,RR,1,O,5871,1,.,.,0
RUS,1,1946,1946,1,m,47,1,RR,1,O,4798,1,.,.,0
RUS,1,1946,1946,1,m,48,1,RR,1,O,6045,1,.,.,0
RUS,1,1946,1946,1,m,49,1,RR,1,O,5323,1,.,.,0
RUS,1,1946,1946,1,m,50,1,RR,1,O,7489,1,.,.,0
RUS,1,1946,1946,1,m,51,1,RR,1,O,4999,1,.,.,0
RUS,1,1946,1946,1,m,52,1,RR,1,O,6439,1,.,.,0
RUS,1,1946,1946,1,m,53,1,RR,1,O,6635,1,.,.,0
RUS,1,1946,1946,1,m,54,1,RR,1,O,6233,1,.,.,0
RUS,1,1946,1946,1,m,55,1,RR,1,O,7126,1,.,.,0
RUS,1,1946,1946,1,m,56,1,RR,1,O,7190,1,.,.,0
RUS,1,1946,1946,1,m,57,1,RR,1,O,6096,1,.,.,0
RUS,1,1946,1946,1,m,58,1,RR,1,O,8018,1,.,.,0
RUS,1,1946,1946,1,m,59,1,RR,1,O,6092,1,.,.,0
RUS,1,1946,1946,1,m,60,1,RR,1,O,9391,1,.,.,0
RUS,1,1946,1946,1,m,61,1,RR,1,O,5300,1,.,.,0
RUS,1,1946,1946,1,m,62,1,RR,1,O,7756,1,.,.,0
RUS,1,1946,1946,1,m,63,1,RR,1,O,7501,1,.,.,0
RUS,1,1946,1946,1,m,64,1,RR,1,O,6613,1,.,.,0
RUS,1,1946,1946,1,m,65,1,RR,1,O,8720,1,.,.,0
RUS,1,1946,1946,1,m,66,1,RR,1,O,6670,1,.,.,0
RUS,1,1946,1946,1,m,67,1,RR,1,O,6906,1,.,.,0
RUS,1,1946,1946,1,m,68,1,RR,1,O,6716,1,.,.,0
RUS,1,1946,1946,1,m,69,1,RR,1,O,5022,1,.,.,0
RUS,1,1946,1946,1,m,70,1,RR,1,O,8791,1,6,2,0
RUS,1,1946,1946,1,m,71,1,RR,1,O,4221,1,2,.,0
RUS,1,1946,1946,1,m,72,1,RR,1,O,6430,1,2,.,0
RUS,1,1946,1946,1,m,73,1,RR,1,O,5943,1,2,.,0
RUS,1,1946,1946,1,m,74,1,RR,1,O,4626,1,2,.,0
RUS,1,1946,1946,1,m,75,1,RR,1,O,6436,1,2,.,0
RUS,1,1946,1946,1,m,76,1,RR,1,O,5459,1,2,.,0
RUS,1,1946,1946,1,m,77,1,RR,1,O,3244,1,2,.,0
RUS,1,1946,1946,1,m,78,1,RR,1,O,4226,1,2,.,0
RUS,1,1946,1946,1,m,79,1,RR,1,O,2267,1,2,.,0
RUS,1,1946,1946,1,m,80,1,RR,1,O,4142,1,6,2,0
RUS,1,1946,1946,1,m,81,1,RR,1,O,1695,1,2,.,0
RUS,1,1946,1946,1,m,82,1,RR,1,O,2241,1,2,.,0
RUS,1,1946,1946,1,m,83,1,RR,1,O,1824,1,2,.,0
RUS,1,1946,1946,1,m,84,1,RR,1,O,1481,1,2,.,0
RUS,1,1946,1946,1,m,85,1,RR,1,O,1941,1,2,.,0
RUS,1,1946,1946,1,m,86,1,RR,1,O,1448,1,2,.,0
RUS,1,1946,1946,1,m,87,1,RR,1,O,958,1,2,.,0
RUS,1,1946,1946,1,m,88,1,RR,1,O,792,1,2,.,0
RUS,1,1946,1946,1,m,89,1,RR,1,O,585,1,2,.,0
RUS,1,1946,1946,1,m,90,1,RR,1,O,851,1,6,2,0
RUS,1,1946,1946,1,m,91,1,RR,1,O,268,1,2,.,0
RUS,1,1946,1946,1,m,92,1,RR,1,O,372,1,2,.,0
RUS,1,1946,1946,1,m,93,1,RR,1,O,294,1,2,.,0
RUS,1,1946,1946,1,m,94,1,RR,1,O,179,1,2,.,0
RUS,1,1946,1946,1,m,95,1,RR,1,O,235,1,2,.,0
RUS,1,1946,1946,1,m,96,1,RR,1,O,245,1,2,.,0
RUS,1,1946,1946,1,m,97,1,RR,1,O,122,1,2,.,0
RUS,1,1946,1946,1,m,98,1,RR,1,O,176,1,2,.,0
RUS,1,1946,1946,1,m,99,1,RR,1,O,88,1,2,.,0
RUS,1,1946,1946,1,m,100,+,RR,1,O,372,1,3,2,0
RUS,1,1946,1946,1,m,UNK,.,RR,1,O,4510,1,.,.,0
RUS,1,1946,1946,1,m,TOT,.,RR,1,O,552896,1,.,.,0
RUS,1,1946,1946,1,f,0,1,RR,1,O,85788,1,2,.,0
RUS,1,1946,1946,1,f,1,1,RR,1,O,18899,1,.,.,0
RUS,1,1946,1946,1,f,2,1,RR,1,O,7772,1,.,.,0
RUS,1,1946,1946,1,f,3,1,RR,1,O,4449,1,.,.,0
RUS,1,1946,1946,1,f,4,1,RR,1,O,4629,1,.,.,0
RUS,1,1946,1946,1,f,5,1,RR,1,O,5187,1,.,.,0
RUS,1,1946,1946,1,f,6,1,RR,1,O,4457,1,.,.,0
RUS,1,1946,1946,1,f,7,1,RR,1,O,3921,1,.,.,0
RUS,1,1946,1946,1,f,8,1,RR,1,O,3416,1,.,.,0
RUS,1,1946,1946,1,f,9,1,RR,1,O,2688,1,.,.,0
RUS,1,1946,1946,1,f,10,1,RR,1,O,2497,1,.,.,0
RUS,1,1946,1946,1,f,11,1,RR,1,O,1746,1,.,.,0
RUS,1,1946,1946,1,f,12,1,RR,1,O,1967,1,.,.,0
RUS,1,1946,1946,1,f,13,1,RR,1,O,1745,1,.,.,0
RUS,1,1946,1946,1,f,14,1,RR,1,O,2084,1,.,.,0
RUS,1,1946,1946,1,f,15,1,RR,1,O,2614,1,.,.,0
RUS,1,1946,1946,1,f,16,1,RR,1,O,2969,1,.,.,0
RUS,1,1946,1946,1,f,17,1,RR,1,O,2985,1,.,.,0
RUS,1,1946,1946,1,f,18,1,RR,1,O,3730,1,.,.,0
RUS,1,1946,1946,1,f,19,1,RR,1,O,3389,1,.,.,0
RUS,1,1946,1946,1,f,20,1,RR,1,O,4312,1,.,.,0
RUS,1,1946,1946,1,f,21,1,RR,1,O,3207,1,.,.,0
RUS,1,1946,1946,1,f,22,1,RR,1,O,3770,1,.,.,0
RUS,1,1946,1946,1,f,23,1,RR,1,O,3460,1,.,.,0
RUS,1,1946,1946,1,f,24,1,RR,1,O,2732,1,.,.,0
RUS,1,1946,1946,1,f,25,1,RR,1,O,3125,1,.,.,0
RUS,1,1946,1946,1,f,26,1,RR,1,O,2485,1,.,.,0
RUS,1,1946,1946,1,f,27,1,RR,1,O,2628,1,.,.,0
RUS,1,1946,1946,1,f,28,1,RR,1,O,2851,1,.,.,0
RUS,1,1946,1946,1,f,29,1,RR,1,O,1963,1,.,.,0
RUS,1,1946,1946,1,f,30,1,RR,1,O,3838,1,.,.,0
RUS,1,1946,1946,1,f,31,1,RR,1,O,2721,1,.,.,0
RUS,1,1946,1946,1,f,32,1,RR,1,O,4147,1,.,.,0
RUS,1,1946,1946,1,f,33,1,RR,1,O,3708,1,.,.,0
RUS,1,1946,1946,1,f,34,1,RR,1,O,3569,1,.,.,0
RUS,1,1946,1946,1,f,35,1,RR,1,O,4958,1,.,.,0
RUS,1,1946,1946,1,f,36,1,RR,1,O,3930,1,.,.,0
RUS,1,1946,1946,1,f,37,1,RR,1,O,3331,1,.,.,0
RUS,1,1946,1946,1,f,38,1,RR,1,O,3935,1,.,.,0
RUS,1,1946,1946,1,f,39,1,RR,1,O,3260,1,.,.,0
RUS,1,1946,1946,1,f,40,1,RR,1,O,5010,1,.,.,0
RUS,1,1946,1946,1,f,41,1,RR,1,O,2925,1,.,.,0
RUS,1,1946,1946,1,f,42,1,RR,1,O,3882,1,.,.,0
RUS,1,1946,1946,1,f,43,1,RR,1,O,3870,1,.,.,0
RUS,1,1946,1946,1,f,44,1,RR,1,O,3041,1,.,.,0
RUS,1,1946,1946,1,f,45,1,RR,1,O,5207,1,.,.,0
RUS,1,1946,1946,1,f,46,1,RR,1,O,4361,1,.,.,0
RUS,1,1946,1946,1,f,47,1,RR,1,O,3020,1,.,.,0
RUS,1,1946,1946,1,f,48,1,RR,1,O,4315,1,.,.,0
RUS,1,1946,1946,1,f,49,1,RR,1,O,3438,1,.,.,0
RUS,1,1946,1946,1,f,50,1,RR,1,O,5249,1,.,.,0
RUS,1,1946,1946,1,f,51,1,RR,1,O,2919,1,.,.,0
RUS,1,1946,1946,1,f,52,1,RR,1,O,3923,1,.,.,0
RUS,1,1946,1946,1,f,53,1,RR,1,O,3864,1,.,.,0
RUS,1,1946,1946,1,f,54,1,RR,1,O,3648,1,.,.,0
RUS,1,1946,1946,1,f,55,1,RR,1,O,5245,1,.,.,0
RUS,1,1946,1946,1,f,56,1,RR,1,O,5466,1,.,.,0
RUS,1,1946,1946,1,f,57,1,RR,1,O,4851,1,.,.,0
RUS,1,1946,1946,1,f,58,1,RR,1,O,6124,1,.,.,0
RUS,1,1946,1946,1,f,59,1,RR,1,O,4496,1,.,.,0
RUS,1,1946,1946,1,f,60,1,RR,1,O,8485,1,.,.,0
RUS,1,1946,1946,1,f,61,1,RR,1,O,4388,1,.,.,0
RUS,1,1946,1946,1,f,62,1,RR,1,O,6398,1,.,.,0
RUS,1,1946,1946,1,f,63,1,RR,1,O,6768,1,.,.,0
