Popname,Year,Age,Area1,Area2,Sex,RefCode,Access,Type,Value,NoteCode1,NoteCode2,NoteCode3
RUS,1993,.,1,11,m,23,O,Rb,0.986151754,.,.,.
RUS,1993,.,1,11,f,23,O,Rb,0.985934296,.,.,.
RUS,1995,.,11,12,m,24,O,Rb,1.005071721,.,.,.
RUS,1995,.,11,12,f,24,O,Rb,1.005206675,.,.,.
RUS,2003,.,12,1,m,25,O,Rb,1.019158084,.,.,.
RUS,2003,.,12,1,f,25,O,Rb,1.019163547,.,.,.
RUS,1993,0,1,11,m,23,O,Vx,0.980577169,.,.,.
RUS,1993,1,1,11,m,23,O,Vx,0.980959646,.,.,.
RUS,1993,2,1,11,m,23,O,Vx,0.981153752,.,.,.
RUS,1993,3,1,11,m,23,O,Vx,0.982901031,.,.,.
RUS,1993,4,1,11,m,23,O,Vx,0.984832797,.,.,.
RUS,1993,5,1,11,m,23,O,Vx,0.986114778,.,.,.
RUS,1993,6,1,11,m,23,O,Vx,0.986348252,.,.,.
RUS,1993,7,1,11,m,23,O,Vx,0.986843967,.,.,.
RUS,1993,8,1,11,m,23,O,Vx,0.987339239,.,.,.
RUS,1993,9,1,11,m,23,O,Vx,0.987866541,.,.,.
RUS,1993,10,1,11,m,23,O,Vx,0.987229869,.,.,.
RUS,1993,11,1,11,m,23,O,Vx,0.987525091,.,.,.
RUS,1993,12,1,11,m,23,O,Vx,0.986321921,.,.,.
RUS,1993,13,1,11,m,23,O,Vx,0.98677131,.,.,.
RUS,1993,14,1,11,m,23,O,Vx,0.987744669,.,.,.
RUS,1993,15,1,11,m,23,O,Vx,0.987525709,.,.,.
RUS,1993,16,1,11,m,23,O,Vx,0.987701187,.,.,.
RUS,1993,17,1,11,m,23,O,Vx,0.986935077,.,.,.
RUS,1993,18,1,11,m,23,O,Vx,0.986117639,.,.,.
RUS,1993,19,1,11,m,23,O,Vx,0.988163818,.,.,.
RUS,1993,20,1,11,m,23,O,Vx,0.987865797,.,.,.
RUS,1993,21,1,11,m,23,O,Vx,0.987757301,.,.,.
RUS,1993,22,1,11,m,23,O,Vx,0.98654994,.,.,.
RUS,1993,23,1,11,m,23,O,Vx,0.987047329,.,.,.
RUS,1993,24,1,11,m,23,O,Vx,0.986574525,.,.,.
RUS,1993,25,1,11,m,23,O,Vx,0.987301893,.,.,.
RUS,1993,26,1,11,m,23,O,Vx,0.987753434,.,.,.
RUS,1993,27,1,11,m,23,O,Vx,0.988018971,.,.,.
RUS,1993,28,1,11,m,23,O,Vx,0.98841922,.,.,.
RUS,1993,29,1,11,m,23,O,Vx,0.989133663,.,.,.
RUS,1993,30,1,11,m,23,O,Vx,0.989696084,.,.,.
RUS,1993,31,1,11,m,23,O,Vx,0.990457075,.,.,.
RUS,1993,32,1,11,m,23,O,Vx,0.989978853,.,.,.
RUS,1993,33,1,11,m,23,O,Vx,0.990709985,.,.,.
RUS,1993,34,1,11,m,23,O,Vx,0.991409548,.,.,.
RUS,1993,35,1,11,m,23,O,Vx,0.991193601,.,.,.
RUS,1993,36,1,11,m,23,O,Vx,0.991664426,.,.,.
RUS,1993,37,1,11,m,23,O,Vx,0.991769357,.,.,.
RUS,1993,38,1,11,m,23,O,Vx,0.992311977,.,.,.
RUS,1993,39,1,11,m,23,O,Vx,0.99216254,.,.,.
RUS,1993,40,1,11,m,23,O,Vx,0.99257902,.,.,.
RUS,1993,41,1,11,m,23,O,Vx,0.993082213,.,.,.
RUS,1993,42,1,11,m,23,O,Vx,0.992883392,.,.,.
RUS,1993,43,1,11,m,23,O,Vx,0.994180827,.,.,.
RUS,1993,44,1,11,m,23,O,Vx,0.994323266,.,.,.
RUS,1993,45,1,11,m,23,O,Vx,0.994584176,.,.,.
RUS,1993,46,1,11,m,23,O,Vx,0.995623878,.,.,.
RUS,1993,47,1,11,m,23,O,Vx,0.995602324,.,.,.
RUS,1993,48,1,11,m,23,O,Vx,0.993205352,.,.,.
RUS,1993,49,1,11,m,23,O,Vx,0.991031815,.,.,.
RUS,1993,50,1,11,m,23,O,Vx,0.991962643,.,.,.
RUS,1993,51,1,11,m,23,O,Vx,0.994881633,.,.,.
RUS,1993,52,1,11,m,23,O,Vx,0.994013929,.,.,.
RUS,1993,53,1,11,m,23,O,Vx,0.994638659,.,.,.
RUS,1993,54,1,11,m,23,O,Vx,0.994222155,.,.,.
RUS,1993,55,1,11,m,23,O,Vx,0.994264498,.,.,.
RUS,1993,56,1,11,m,23,O,Vx,0.993397113,.,.,.
RUS,1993,57,1,11,m,23,O,Vx,0.993074962,.,.,.
RUS,1993,58,1,11,m,23,O,Vx,0.991743476,.,.,.
RUS,1993,59,1,11,m,23,O,Vx,0.99225982,.,.,.
RUS,1993,60,1,11,m,23,O,Vx,0.992329859,.,.,.
RUS,1993,61,1,11,m,23,O,Vx,0.994455417,.,.,.
RUS,1993,62,1,11,m,23,O,Vx,0.993076514,.,.,.
RUS,1993,63,1,11,m,23,O,Vx,0.994053731,.,.,.
RUS,1993,64,1,11,m,23,O,Vx,0.993678414,.,.,.
RUS,1993,65,1,11,m,23,O,Vx,0.994583148,.,.,.
RUS,1993,66,1,11,m,23,O,Vx,0.994263447,.,.,.
RUS,1993,67,1,11,m,23,O,Vx,0.994859421,.,.,.
RUS,1993,68,1,11,m,23,O,Vx,0.994116566,.,.,.
RUS,1993,69,1,11,m,23,O,Vx,0.99420972,.,.,.
RUS,1993,70,1,11,m,23,O,Vx,0.993494825,.,.,.
RUS,1993,71,1,11,m,23,O,Vx,0.993905521,.,.,.
RUS,1993,72,1,11,m,23,O,Vx,0.991266185,.,.,.
RUS,1993,73,1,11,m,23,O,Vx,0.993694998,.,.,.
RUS,1993,74,1,11,m,23,O,Vx,0.993186186,.,.,.
RUS,1993,75,1,11,m,23,O,Vx,0.991877612,.,.,.
RUS,1993,76,1,11,m,23,O,Vx,0.992719185,.,.,.
RUS,1993,77,1,11,m,23,O,Vx,0.992862762,.,.,.
RUS,1993,78,1,11,m,23,O,Vx,0.992571762,.,.,.
RUS,1993,79,1,11,m,23,O,Vx,0.992765692,.,.,.
RUS,1993,80,1,11,m,23,O,Vx,0.991809388,.,.,.
