PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
SVK,01,m,1950,1950,3,O,51699,3,.,.,1
SVK,01,m,1951,1951,3,O,51903,3,.,.,1
SVK,01,m,1952,1952,3,O,52171,3,.,.,1
SVK,01,m,1953,1953,3,O,51281,4,.,.,1
SVK,01,m,1954,1954,3,O,50939,4,.,.,1
SVK,01,m,1955,1955,3,O,51149,4,.,.,1
SVK,01,m,1956,1956,3,O,51135,4,.,.,1
SVK,01,m,1957,1957,3,O,50481,4,.,.,1
SVK,01,m,1958,1958,3,O,47894,4,.,.,1
SVK,01,m,1959,1959,3,O,45362,4,.,.,1
SVK,01,m,1960,1960,3,O,45584,4,.,.,1
SVK,01,m,1961,1961,3,O,44753,4,.,.,1
SVK,01,m,1962,1962,3,O,43174,4,.,.,1
SVK,01,m,1963,1963,8,O,44848,4,11,.,1
SVK,01,m,1964,1964,3,O,44559,4,.,.,1
SVK,01,m,1965,1965,3,O,44031,5,.,.,1
SVK,01,m,1966,1966,3,O,41664,5,.,.,1
SVK,01,m,1967,1967,3,O,39883,5,.,.,1
SVK,01,m,1968,1968,8,O,39315,5,11,.,1
SVK,01,m,1969,1969,3,O,40890,5,.,.,1
SVK,01,m,1970,1970,3,O,41443,5,.,.,1
SVK,01,m,1971,1971,3,O,42687,5,.,.,1
SVK,01,m,1972,1972,3,O,44918,5,.,.,1
SVK,01,m,1973,1973,3,O,47387,5,.,.,1
SVK,01,m,1974,1974,3,O,50020,5,.,.,1
SVK,01,m,1975,1975,3,O,49791,5,.,.,1
SVK,01,m,1976,1976,8,O,51416,5,11,.,1
SVK,01,m,1977,1977,3,O,51322,5,.,.,1
SVK,01,m,1978,1978,8,O,51185,5,11,.,1
SVK,01,m,1979,1979,3,O,51087,5,.,.,1
SVK,01,m,1980,1980,3,O,48842,5,.,.,1
SVK,01,m,1981,1981,3,O,47631,5,.,.,1
SVK,01,m,1982,1982,3,O,47545,5,.,.,1
SVK,01,m,1983,1983,3,O,47218,5,.,.,1
SVK,01,m,1984,1984,3,O,46446,5,.,.,1
SVK,01,m,1985,1985,3,O,46189,5,.,.,1
SVK,01,m,1986,1986,3,O,44667,5,.,.,1
SVK,01,m,1987,1987,3,O,42843,5,.,.,1
SVK,01,m,1988,1988,3,O,42563,6,.,.,1
SVK,01,m,1989,1989,3,O,40976,6,.,.,1
SVK,01,m,1990,1990,3,O,41130,6,.,.,1
SVK,01,m,1991,1991,3,O,40241,6,.,.,1
SVK,01,m,1992,1992,3,O,38253,6,.,.,1
SVK,01,m,1993,1993,3,O,37752,6,.,.,1
SVK,01,m,1994,1994,3,O,33875,6,.,.,1
SVK,01,m,1995,1995,3,O,31415,6,.,.,1
SVK,01,m,1996,1996,3,O,31045,6,.,.,1
SVK,01,m,1997,1997,3,O,30368,6,.,.,1
SVK,01,m,1998,1998,3,O,29543,6,.,.,1
SVK,01,m,1999,1999,3,O,28710,6,.,.,1
SVK,01,m,2000,2000,3,O,28224,6,.,.,1
