PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
SVK,01,1925,1925,1,1,19,O,9129,.,.,.,0
SVK,01,1925,1925,2,1,19,O,8152,.,.,.,0
SVK,01,1925,1925,3,1,19,O,9119,.,.,.,0
SVK,01,1925,1925,4,1,19,O,8698,.,.,.,0
SVK,01,1925,1925,5,1,19,O,9204,.,.,.,0
SVK,01,1925,1925,6,1,19,O,7986,.,.,.,0
SVK,01,1925,1925,7,1,19,O,8467,.,.,.,0
SVK,01,1925,1925,8,1,19,O,8477,.,.,.,0
SVK,01,1925,1925,9,1,19,O,8853,.,.,.,0
SVK,01,1925,1925,10,1,19,O,8580,.,.,.,0
SVK,01,1925,1925,11,1,19,O,8263,.,.,.,0
SVK,01,1925,1925,12,1,19,O,7939,.,.,.,0
SVK,01,1925,1925,TOT,1,19,O,102867,.,.,.,0
SVK,01,1926,1926,1,1,19,O,9144,.,.,.,0
SVK,01,1926,1926,2,1,19,O,8062,.,.,.,0
SVK,01,1926,1926,3,1,19,O,9504,.,.,.,0
SVK,01,1926,1926,4,1,19,O,8834,.,.,.,0
SVK,01,1926,1926,5,1,19,O,8743,.,.,.,0
SVK,01,1926,1926,6,1,19,O,8283,.,.,.,0
SVK,01,1926,1926,7,1,19,O,8526,.,.,.,0
SVK,01,1926,1926,8,1,19,O,8858,.,.,.,0
SVK,01,1926,1926,9,1,19,O,8951,.,.,.,0
SVK,01,1926,1926,10,1,19,O,8798,.,.,.,0
SVK,01,1926,1926,11,1,19,O,8143,.,.,.,0
SVK,01,1926,1926,12,1,19,O,8109,.,.,.,0
SVK,01,1926,1926,TOT,1,19,O,103955,.,.,.,0
SVK,01,1927,1927,1,1,19,O,9268,.,.,.,0
SVK,01,1927,1927,2,1,19,O,8510,.,.,.,0
SVK,01,1927,1927,3,1,19,O,9123,.,.,.,0
SVK,01,1927,1927,4,1,19,O,8199,.,.,.,0
SVK,01,1927,1927,5,1,19,O,8629,.,.,.,0
SVK,01,1927,1927,6,1,19,O,8212,.,.,.,0
SVK,01,1927,1927,7,1,19,O,8274,.,.,.,0
