Popname,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
SVK,1,1950,1950,1,m,0,1,TL,5,O,4508,3,.,.,1
SVK,1,1950,1950,1,m,0,1,TU,5,O,1222,3,.,.,1
SVK,1,1950,1950,1,m,1,1,TL,5,O,213,.,.,.,1
SVK,1,1950,1950,1,m,1,1,TU,5,O,143,.,.,.,1
SVK,1,1950,1950,1,m,2,1,TL,5,O,88,.,.,.,1
SVK,1,1950,1950,1,m,2,1,TU,5,O,48,.,.,.,1
SVK,1,1950,1950,1,m,3,1,TL,5,O,52,.,.,.,1
SVK,1,1950,1950,1,m,3,1,TU,5,O,41,.,.,.,1
SVK,1,1950,1950,1,m,4,1,TL,5,O,29,.,.,.,1
SVK,1,1950,1950,1,m,4,1,TU,5,O,23,.,.,.,1
SVK,1,1950,1950,1,m,5,1,TL,5,O,20,.,.,.,1
SVK,1,1950,1950,1,m,5,1,TU,5,O,24,.,.,.,1
SVK,1,1950,1950,1,m,6,1,TL,5,O,25,.,.,.,1
SVK,1,1950,1950,1,m,6,1,TU,5,O,23,.,.,.,1
SVK,1,1950,1950,1,m,7,1,TL,5,O,22,.,.,.,1
SVK,1,1950,1950,1,m,7,1,TU,5,O,13,.,.,.,1
SVK,1,1950,1950,1,m,8,1,TL,5,O,16,.,.,.,1
SVK,1,1950,1950,1,m,8,1,TU,5,O,20,.,.,.,1
SVK,1,1950,1950,1,m,9,1,TL,5,O,15,.,.,.,1
SVK,1,1950,1950,1,m,9,1,TU,5,O,10,.,.,.,1
SVK,1,1950,1950,1,m,10,1,TL,5,O,21,.,.,.,1
SVK,1,1950,1950,1,m,10,1,TU,5,O,17,.,.,.,1
SVK,1,1950,1950,1,m,11,1,TL,5,O,15,.,.,.,1
SVK,1,1950,1950,1,m,11,1,TU,5,O,15,.,.,.,1
SVK,1,1950,1950,1,m,12,1,TL,5,O,14,.,.,.,1
SVK,1,1950,1950,1,m,12,1,TU,5,O,15,.,.,.,1
SVK,1,1950,1950,1,m,13,1,TL,5,O,20,.,.,.,1
SVK,1,1950,1950,1,m,13,1,TU,5,O,22,.,.,.,1
SVK,1,1950,1950,1,m,14,1,TL,5,O,18,.,.,.,1
SVK,1,1950,1950,1,m,14,1,TU,5,O,14,.,.,.,1
SVK,1,1950,1950,1,m,15,1,TL,5,O,18,.,.,.,1
SVK,1,1950,1950,1,m,15,1,TU,5,O,22,.,.,.,1
SVK,1,1950,1950,1,m,16,1,TL,5,O,13,.,.,.,1
SVK,1,1950,1950,1,m,16,1,TU,5,O,31,.,.,.,1
SVK,1,1950,1950,1,m,17,1,TL,5,O,31,.,.,.,1
SVK,1,1950,1950,1,m,17,1,TU,5,O,41,.,.,.,1
SVK,1,1950,1950,1,m,18,1,TL,5,O,30,.,.,.,1
SVK,1,1950,1950,1,m,18,1,TU,5,O,50,.,.,.,1
SVK,1,1950,1950,1,m,19,1,TL,5,O,46,.,.,.,1
SVK,1,1950,1950,1,m,19,1,TU,5,O,48,.,.,.,1
SVK,1,1950,1950,1,m,20,1,TL,5,O,45,.,.,.,1
SVK,1,1950,1950,1,m,20,1,TU,5,O,35,.,.,.,1
SVK,1,1950,1950,1,m,21,1,TL,5,O,49,.,.,.,1
SVK,1,1950,1950,1,m,21,1,TU,5,O,50,.,.,.,1
SVK,1,1950,1950,1,m,22,1,TL,5,O,61,.,.,.,1
SVK,1,1950,1950,1,m,22,1,TU,5,O,45,.,.,.,1
SVK,1,1950,1950,1,m,23,1,TL,5,O,47,.,.,.,1
SVK,1,1950,1950,1,m,23,1,TU,5,O,47,.,.,.,1
SVK,1,1950,1950,1,m,24,1,TL,5,O,40,.,.,.,1
SVK,1,1950,1950,1,m,24,1,TU,5,O,44,.,.,.,1
SVK,1,1950,1950,1,m,25,1,TL,5,O,45,.,.,.,1
SVK,1,1950,1950,1,m,25,1,TU,5,O,45,.,.,.,1
SVK,1,1950,1950,1,m,26,1,TL,5,O,39,.,.,.,1
SVK,1,1950,1950,1,m,26,1,TU,5,O,55,.,.,.,1
SVK,1,1950,1950,1,m,27,1,TL,5,O,35,.,.,.,1
SVK,1,1950,1950,1,m,27,1,TU,5,O,47,.,.,.,1
SVK,1,1950,1950,1,m,28,1,TL,5,O,41,.,.,.,1
SVK,1,1950,1950,1,m,28,1,TU,5,O,46,.,.,.,1
SVK,1,1950,1950,1,m,29,1,TL,5,O,42,.,.,.,1
SVK,1,1950,1950,1,m,29,1,TU,5,O,46,.,.,.,1
SVK,1,1950,1950,1,m,30,1,TL,5,O,37,.,.,.,1
SVK,1,1950,1950,1,m,30,1,TU,5,O,52,.,.,.,1
SVK,1,1950,1950,1,m,31,1,TL,5,O,29,.,.,.,1
SVK,1,1950,1950,1,m,31,1,TU,5,O,17,.,.,.,1
SVK,1,1950,1950,1,m,32,1,TL,5,O,18,.,.,.,1
SVK,1,1950,1950,1,m,32,1,TU,5,O,16,.,.,.,1
SVK,1,1950,1950,1,m,33,1,TL,5,O,16,.,.,.,1
SVK,1,1950,1950,1,m,33,1,TU,5,O,18,.,.,.,1
SVK,1,1950,1950,1,m,34,1,TL,5,O,19,.,.,.,1
SVK,1,1950,1950,1,m,34,1,TU,5,O,22,.,.,.,1
SVK,1,1950,1950,1,m,35,1,TL,5,O,27,.,.,.,1
SVK,1,1950,1950,1,m,35,1,TU,5,O,37,.,.,.,1
SVK,1,1950,1950,1,m,36,1,TL,5,O,51,.,.,.,1
SVK,1,1950,1950,1,m,36,1,TU,5,O,39,.,.,.,1
SVK,1,1950,1950,1,m,37,1,TL,5,O,33,.,.,.,1
SVK,1,1950,1950,1,m,37,1,TU,5,O,40,.,.,.,1
SVK,1,1950,1950,1,m,38,1,TL,5,O,60,.,.,.,1
SVK,1,1950,1950,1,m,38,1,TU,5,O,43,.,.,.,1
SVK,1,1950,1950,1,m,39,1,TL,5,O,39,.,.,.,1
SVK,1,1950,1950,1,m,39,1,TU,5,O,47,.,.,.,1
SVK,1,1950,1950,1,m,40,1,TL,5,O,48,.,.,.,1
SVK,1,1950,1950,1,m,40,1,TU,5,O,45,.,.,.,1
SVK,1,1950,1950,1,m,41,1,TL,5,O,62,.,.,.,1
SVK,1,1950,1950,1,m,41,1,TU,5,O,65,.,.,.,1
SVK,1,1950,1950,1,m,42,1,TL,5,O,56,.,.,.,1
SVK,1,1950,1950,1,m,42,1,TU,5,O,56,.,.,.,1
SVK,1,1950,1950,1,m,43,1,TL,5,O,56,.,.,.,1
SVK,1,1950,1950,1,m,43,1,TU,5,O,58,.,.,.,1
SVK,1,1950,1950,1,m,44,1,TL,5,O,61,.,.,.,1
SVK,1,1950,1950,1,m,44,1,TU,5,O,55,.,.,.,1
SVK,1,1950,1950,1,m,45,1,TL,5,O,61,.,.,.,1
SVK,1,1950,1950,1,m,45,1,TU,5,O,74,.,.,.,1
SVK,1,1950,1950,1,m,46,1,TL,5,O,57,.,.,.,1
SVK,1,1950,1950,1,m,46,1,TU,5,O,69,.,.,.,1
SVK,1,1950,1950,1,m,47,1,TL,5,O,75,.,.,.,1
SVK,1,1950,1950,1,m,47,1,TU,5,O,72,.,.,.,1
SVK,1,1950,1950,1,m,48,1,TL,5,O,78,.,.,.,1
SVK,1,1950,1950,1,m,48,1,TU,5,O,69,.,.,.,1
SVK,1,1950,1950,1,m,49,1,TL,5,O,78,.,.,.,1
SVK,1,1950,1950,1,m,49,1,TU,5,O,114,.,.,.,1
SVK,1,1950,1950,1,m,50,1,TL,5,O,104,.,.,.,1
SVK,1,1950,1950,1,m,50,1,TU,5,O,73,.,.,.,1
SVK,1,1950,1950,1,m,51,1,TL,5,O,82,.,.,.,1
SVK,1,1950,1950,1,m,51,1,TU,5,O,62,.,.,.,1
SVK,1,1950,1950,1,m,52,1,TL,5,O,97,.,.,.,1
SVK,1,1950,1950,1,m,52,1,TU,5,O,104,.,.,.,1
SVK,1,1950,1950,1,m,53,1,TL,5,O,91,.,.,.,1
SVK,1,1950,1950,1,m,53,1,TU,5,O,88,.,.,.,1
SVK,1,1950,1950,1,m,54,1,TL,5,O,98,.,.,.,1
SVK,1,1950,1950,1,m,54,1,TU,5,O,99,.,.,.,1
SVK,1,1950,1950,1,m,55,1,TL,5,O,101,.,.,.,1
SVK,1,1950,1950,1,m,55,1,TU,5,O,92,.,.,.,1
SVK,1,1950,1950,1,m,56,1,TL,5,O,96,.,.,.,1
SVK,1,1950,1950,1,m,56,1,TU,5,O,97,.,.,.,1
SVK,1,1950,1950,1,m,57,1,TL,5,O,100,.,.,.,1
SVK,1,1950,1950,1,m,57,1,TU,5,O,90,.,.,.,1
SVK,1,1950,1950,1,m,58,1,TL,5,O,98,.,.,.,1
SVK,1,1950,1950,1,m,58,1,TU,5,O,116,.,.,.,1
SVK,1,1950,1950,1,m,59,1,TL,5,O,98,.,.,.,1
SVK,1,1950,1950,1,m,59,1,TU,5,O,96,.,.,.,1
SVK,1,1950,1950,1,m,60,1,TL,5,O,106,.,.,.,1
SVK,1,1950,1950,1,m,60,1,TU,5,O,97,.,.,.,1
SVK,1,1950,1950,1,m,61,1,TL,5,O,117,.,.,.,1
SVK,1,1950,1950,1,m,61,1,TU,5,O,116,.,.,.,1
SVK,1,1950,1950,1,m,62,1,TL,5,O,107,.,.,.,1
