Popname,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
SVK,1,m,0,1,O,1,7,1950,7,O,43274,1,8,9,1
SVK,1,m,1,1,O,1,7,1950,7,O,40574,1,8,9,1
SVK,1,m,2,1,O,1,7,1950,7,O,39579,1,8,9,1
SVK,1,m,3,1,O,1,7,1950,7,O,36574,1,8,9,1
SVK,1,m,4,1,O,1,7,1950,7,O,33527,1,8,9,1
SVK,1,m,5,1,O,1,7,1950,7,O,32444,1,8,9,1
SVK,1,m,6,1,O,1,7,1950,7,O,32494,1,8,9,1
SVK,1,m,7,1,O,1,7,1950,7,O,32192,1,8,9,1
SVK,1,m,8,1,O,1,7,1950,7,O,31572,1,8,9,1
SVK,1,m,9,1,O,1,7,1950,7,O,31997,1,8,9,1
SVK,1,m,10,1,O,1,7,1950,7,O,31648,1,8,9,1
SVK,1,m,11,1,O,1,7,1950,7,O,30226,1,8,9,1
SVK,1,m,12,1,O,1,7,1950,7,O,29392,1,8,9,1
SVK,1,m,13,1,O,1,7,1950,7,O,28974,1,8,9,1
SVK,1,m,14,1,O,1,7,1950,7,O,29728,1,8,9,1
SVK,1,m,15,1,O,1,7,1950,7,O,30312,1,8,9,1
SVK,1,m,16,1,O,1,7,1950,7,O,29770,1,8,9,1
SVK,1,m,17,1,O,1,7,1950,7,O,29798,1,8,9,1
SVK,1,m,18,1,O,1,7,1950,7,O,30516,1,8,9,1
SVK,1,m,19,1,O,1,7,1950,7,O,31462,1,8,9,1
SVK,1,m,20,1,O,1,7,1950,7,O,30592,1,8,9,1
SVK,1,m,21,1,O,1,7,1950,7,O,29272,1,8,9,1
SVK,1,m,22,1,O,1,7,1950,7,O,29302,1,8,9,1
SVK,1,m,23,1,O,1,7,1950,7,O,29384,1,8,9,1
SVK,1,m,24,1,O,1,7,1950,7,O,29417,1,8,9,1
SVK,1,m,25,1,O,1,7,1950,7,O,29495,1,8,9,1
SVK,1,m,26,1,O,1,7,1950,7,O,30700,1,8,9,1
SVK,1,m,27,1,O,1,7,1950,7,O,31750,1,8,9,1
SVK,1,m,28,1,O,1,7,1950,7,O,31338,1,8,9,1
SVK,1,m,29,1,O,1,7,1950,7,O,29069,1,8,9,1
SVK,1,m,30,1,O,1,7,1950,7,O,26112,1,8,9,1
SVK,1,m,31,1,O,1,7,1950,7,O,18520,1,8,9,1
SVK,1,m,32,1,O,1,7,1950,7,O,12256,1,8,9,1
SVK,1,m,33,1,O,1,7,1950,7,O,12731,1,8,9,1
SVK,1,m,34,1,O,1,7,1950,7,O,15069,1,8,9,1
SVK,1,m,35,1,O,1,7,1950,7,O,20773,1,8,9,1
SVK,1,m,36,1,O,1,7,1950,7,O,24323,1,8,9,1
SVK,1,m,37,1,O,1,7,1950,7,O,24449,1,8,9,1
SVK,1,m,38,1,O,1,7,1950,7,O,24282,1,8,9,1
SVK,1,m,39,1,O,1,7,1950,7,O,24335,1,8,9,1
SVK,1,m,40,1,O,1,7,1950,7,O,25318,1,8,9,1
SVK,1,m,41,1,O,1,7,1950,7,O,25158,1,8,9,1
SVK,1,m,42,1,O,1,7,1950,7,O,24066,1,8,9,1
