PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
SVN,01,1970,1970,1,1,16,O,2375,.,.,.,1
SVN,01,1970,1970,2,1,16,O,2205,.,.,.,1
SVN,01,1970,1970,3,1,16,O,2489,.,.,.,1
SVN,01,1970,1970,4,1,16,O,2488,.,.,.,1
SVN,01,1970,1970,5,1,16,O,2445,.,.,.,1
SVN,01,1970,1970,6,1,16,O,2264,.,.,.,1
SVN,01,1970,1970,7,1,16,O,2400,.,.,.,1
SVN,01,1970,1970,8,1,16,O,2094,.,.,.,1
SVN,01,1970,1970,9,1,16,O,1990,.,.,.,1
SVN,01,1970,1970,10,1,16,O,2270,.,.,.,1
SVN,01,1970,1970,11,1,16,O,2145,.,.,.,1
SVN,01,1970,1970,12,1,16,O,2267,.,.,.,1
SVN,01,1970,1970,TOT,1,16,O,27432,.,.,.,1
SVN,01,1971,1971,1,1,16,O,2597,.,.,.,1
SVN,01,1971,1971,2,1,16,O,2238,.,.,.,1
SVN,01,1971,1971,3,1,16,O,2374,.,.,.,1
SVN,01,1971,1971,4,1,16,O,2405,.,.,.,1
SVN,01,1971,1971,5,1,16,O,2373,.,.,.,1
SVN,01,1971,1971,6,1,16,O,2276,.,.,.,1
SVN,01,1971,1971,7,1,16,O,2349,.,.,.,1
SVN,01,1971,1971,8,1,16,O,2343,.,.,.,1
SVN,01,1971,1971,9,1,16,O,2437,.,.,.,1
SVN,01,1971,1971,10,1,16,O,2415,.,.,.,1
SVN,01,1971,1971,11,1,16,O,2199,.,.,.,1
SVN,01,1971,1971,12,1,16,O,2272,.,.,.,1
SVN,01,1971,1971,TOT,1,16,O,28278,.,.,.,1
SVN,01,1972,1972,1,1,16,O,2415,.,.,.,1
SVN,01,1972,1972,2,1,16,O,2299,.,.,.,1
SVN,01,1972,1972,3,1,16,O,2579,.,.,.,1
SVN,01,1972,1972,4,1,16,O,2502,.,.,.,1
SVN,01,1972,1972,5,1,16,O,2420,.,.,.,1
SVN,01,1972,1972,6,1,16,O,2449,.,.,.,1
SVN,01,1972,1972,7,1,16,O,2583,.,.,.,1
SVN,01,1972,1972,8,1,16,O,2476,.,.,.,1
SVN,01,1972,1972,9,1,16,O,2469,.,.,.,1
SVN,01,1972,1972,10,1,16,O,2319,.,.,.,1
SVN,01,1972,1972,11,1,16,O,2101,.,.,.,1
SVN,01,1972,1972,12,1,16,O,2101,.,.,.,1
SVN,01,1972,1972,TOT,1,16,O,28713,.,.,.,1
SVN,01,1973,1973,1,1,16,O,2497,.,.,.,1
SVN,01,1973,1973,2,1,16,O,2324,.,.,.,1
SVN,01,1973,1973,3,1,16,O,2760,.,.,.,1
SVN,01,1973,1973,4,1,16,O,2605,.,.,.,1
SVN,01,1973,1973,5,1,16,O,2511,.,.,.,1
SVN,01,1973,1973,6,1,16,O,2540,.,.,.,1
SVN,01,1973,1973,7,1,16,O,2529,.,.,.,1
SVN,01,1973,1973,8,1,16,O,2501,.,.,.,1
SVN,01,1973,1973,9,1,16,O,2314,.,.,.,1
SVN,01,1973,1973,10,1,16,O,2342,.,.,.,1
SVN,01,1973,1973,11,1,16,O,2162,.,.,.,1
SVN,01,1973,1973,12,1,16,O,2463,.,.,.,1
SVN,01,1973,1973,TOT,1,16,O,29548,.,.,.,1
SVN,01,1974,1974,1,1,16,O,2520,.,.,.,1
SVN,01,1974,1974,2,1,16,O,2245,.,.,.,1
SVN,01,1974,1974,3,1,16,O,2614,.,.,.,1
SVN,01,1974,1974,4,1,16,O,2520,.,.,.,1
