Popname,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
SVN,01,m,0,1,O,1,1,1983,6,O,14745,1,.,.,1
SVN,01,m,1,1,O,1,1,1983,6,O,14920,1,.,.,1
SVN,01,m,2,1,O,1,1,1983,6,O,15466,1,.,.,1
SVN,01,m,3,1,O,1,1,1983,6,O,15839,1,.,.,1
SVN,01,m,4,1,O,1,1,1983,6,O,15773,1,.,.,1
SVN,01,m,5,1,O,1,1,1983,6,O,15541,1,.,.,1
SVN,01,m,6,1,O,1,1,1983,6,O,15716,1,.,.,1
SVN,01,m,7,1,O,1,1,1983,6,O,15302,1,.,.,1
SVN,01,m,8,1,O,1,1,1983,6,O,15084,1,.,.,1
SVN,01,m,9,1,O,1,1,1983,6,O,15043,1,.,.,1
SVN,01,m,10,1,O,1,1,1983,6,O,14878,1,.,.,1
SVN,01,m,11,1,O,1,1,1983,6,O,14533,1,.,.,1
SVN,01,m,12,1,O,1,1,1983,6,O,13764,1,.,.,1
SVN,01,m,13,1,O,1,1,1983,6,O,14234,1,.,.,1
SVN,01,m,14,1,O,1,1,1983,6,O,14491,1,.,.,1
SVN,01,m,15,1,O,1,1,1983,6,O,14523,1,.,.,1
SVN,01,m,16,1,O,1,1,1983,6,O,15451,1,.,.,1
SVN,01,m,17,1,O,1,1,1983,6,O,15010,1,.,.,1
SVN,01,m,18,1,O,1,1,1983,6,O,14402,1,.,.,1
SVN,01,m,19,1,O,1,1,1983,6,O,14587,1,.,.,1
SVN,01,m,20,1,O,1,1,1983,6,O,14759,1,.,.,1
SVN,01,m,21,1,O,1,1,1983,6,O,14696,1,.,.,1
SVN,01,m,22,1,O,1,1,1983,6,O,14504,1,.,.,1
SVN,01,m,23,1,O,1,1,1983,6,O,15020,1,.,.,1
SVN,01,m,24,1,O,1,1,1983,6,O,15092,1,.,.,1
SVN,01,m,25,1,O,1,1,1983,6,O,15796,1,.,.,1
SVN,01,m,26,1,O,1,1,1983,6,O,16790,1,.,.,1
SVN,01,m,27,1,O,1,1,1983,6,O,16979,1,.,.,1
SVN,01,m,28,1,O,1,1,1983,6,O,16802,1,.,.,1
SVN,01,m,29,1,O,1,1,1983,6,O,17378,1,.,.,1
SVN,01,m,30,1,O,1,1,1983,6,O,17292,1,.,.,1
SVN,01,m,31,1,O,1,1,1983,6,O,16690,1,.,.,1
SVN,01,m,32,1,O,1,1,1983,6,O,17141,1,.,.,1
SVN,01,m,33,1,O,1,1,1983,6,O,15702,1,.,.,1
SVN,01,m,34,1,O,1,1,1983,6,O,14933,1,.,.,1
SVN,01,m,35,1,O,1,1,1983,6,O,14602,1,.,.,1
SVN,01,m,36,1,O,1,1,1983,6,O,13052,1,.,.,1
SVN,01,m,37,1,O,1,1,1983,6,O,9904,1,.,.,1
SVN,01,m,38,1,O,1,1,1983,6,O,12036,1,.,.,1
SVN,01,m,39,1,O,1,1,1983,6,O,13204,1,.,.,1
SVN,01,m,40,1,O,1,1,1983,6,O,13296,1,.,.,1
SVN,01,m,41,1,O,1,1,1983,6,O,12799,1,.,.,1
SVN,01,m,42,1,O,1,1,1983,6,O,12946,1,.,.,1
SVN,01,m,43,1,O,1,1,1983,6,O,12559,1,.,.,1
SVN,01,m,44,1,O,1,1,1983,6,O,12069,1,.,.,1
SVN,01,m,45,1,O,1,1,1983,6,O,12092,1,.,.,1
SVN,01,m,46,1,O,1,1,1983,6,O,12564,1,.,.,1
SVN,01,m,47,1,O,1,1,1983,6,O,12245,1,.,.,1
SVN,01,m,48,1,O,1,1,1983,6,O,11928,1,.,.,1
SVN,01,m,49,1,O,1,1,1983,6,O,11822,1,.,.,1
SVN,01,m,50,1,O,1,1,1983,6,O,12096,1,.,.,1
SVN,01,m,51,1,O,1,1,1983,6,O,11830,1,.,.,1
SVN,01,m,52,1,O,1,1,1983,6,O,12626,1,.,.,1
SVN,01,m,53,1,O,1,1,1983,6,O,11095,1,.,.,1
SVN,01,m,54,1,O,1,1,1983,6,O,10734,1,.,.,1
SVN,01,m,55,1,O,1,1,1983,6,O,9918,1,.,.,1
SVN,01,m,56,1,O,1,1,1983,6,O,8718,1,.,.,1
SVN,01,m,57,1,O,1,1,1983,6,O,8417,1,.,.,1
SVN,01,m,58,1,O,1,1,1983,6,O,7694,1,.,.,1
SVN,01,m,59,1,O,1,1,1983,6,O,7845,1,.,.,1
SVN,01,m,60,1,O,1,1,1983,6,O,7109,1,.,.,1
SVN,01,m,61,1,O,1,1,1983,6,O,6733,1,.,.,1
SVN,01,m,62,1,O,1,1,1983,6,O,6197,1,.,.,1
SVN,01,m,63,1,O,1,1,1983,6,O,5343,1,.,.,1
SVN,01,m,64,1,O,1,1,1983,6,O,3349,1,.,.,1
SVN,01,m,65,1,O,1,1,1983,6,O,3142,1,.,.,1
SVN,01,m,66,1,O,1,1,1983,6,O,3248,1,.,.,1
SVN,01,m,67,1,O,1,1,1983,6,O,4451,1,.,.,1
SVN,01,m,68,1,O,1,1,1983,6,O,5973,1,.,.,1
SVN,01,m,69,1,O,1,1,1983,6,O,5849,1,.,.,1
SVN,01,m,70,1,O,1,1,1983,6,O,5887,1,.,.,1
SVN,01,m,71,1,O,1,1,1983,6,O,5353,1,.,.,1
SVN,01,m,72,1,O,1,1,1983,6,O,5323,1,.,.,1
SVN,01,m,73,1,O,1,1,1983,6,O,5000,1,.,.,1
SVN,01,m,74,1,O,1,1,1983,6,O,4382,1,.,.,1
SVN,01,m,75,1,O,1,1,1983,6,O,3828,1,.,.,1
SVN,01,m,76,1,O,1,1,1983,6,O,3555,1,.,.,1
SVN,01,m,77,1,O,1,1,1983,6,O,3137,1,.,.,1
SVN,01,m,78,1,O,1,1,1983,6,O,2749,1,.,.,1
SVN,01,m,79,1,O,1,1,1983,6,O,2457,1,.,.,1
SVN,01,m,80,1,O,1,1,1983,6,O,2038,1,.,.,1
SVN,01,m,81,1,O,1,1,1983,6,O,1779,1,.,.,1
SVN,01,m,82,1,O,1,1,1983,6,O,2478,1,.,.,1
SVN,01,m,83,1,O,1,1,1983,6,O,1293,1,.,.,1
SVN,01,m,84,1,O,1,1,1983,6,O,908,1,.,.,1
SVN,01,m,85,1,O,1,1,1983,6,O,691,1,.,.,1
SVN,01,m,86,1,O,1,1,1983,6,O,549,1,.,.,1
SVN,01,m,87,1,O,1,1,1983,6,O,402,1,.,.,1
SVN,01,m,88,1,O,1,1,1983,6,O,320,1,.,.,1
SVN,01,m,89,1,O,1,1,1983,6,O,205,1,.,.,1
SVN,01,m,90,1,O,1,1,1983,6,O,159,1,.,.,1
SVN,01,m,91,1,O,1,1,1983,6,O,126,1,.,.,1
SVN,01,m,92,1,O,1,1,1983,6,O,74,1,.,.,1
SVN,01,m,93,1,O,1,1,1983,6,O,78,1,.,.,1
SVN,01,m,94,1,O,1,1,1983,6,O,31,1,.,.,1
SVN,01,m,95,1,O,1,1,1983,6,O,30,1,.,.,1
SVN,01,m,96,1,O,1,1,1983,6,O,31,1,.,.,1
SVN,01,m,97,1,O,1,1,1983,6,O,14,1,.,.,1
SVN,01,m,98,1,O,1,1,1983,6,O,8,1,.,.,1
SVN,01,m,99,1,O,1,1,1983,6,O,5,1,.,.,1
SVN,01,m,100,+,O,1,1,1983,6,O,12,1,.,.,1
SVN,01,m,UNK,.,O,1,1,1983,6,O,0,1,.,.,1
SVN,01,m,TOT,.,O,1,1,1983,6,O,931263,1,.,.,1
SVN,01,f,0,1,O,1,1,1983,6,O,13871,1,.,.,1
SVN,01,f,1,1,O,1,1,1983,6,O,14088,1,.,.,1
SVN,01,f,2,1,O,1,1,1983,6,O,14534,1,.,.,1
SVN,01,f,3,1,O,1,1,1983,6,O,14547,1,.,.,1
SVN,01,f,4,1,O,1,1,1983,6,O,14335,1,.,.,1
SVN,01,f,5,1,O,1,1,1983,6,O,14381,1,.,.,1
SVN,01,f,6,1,O,1,1,1983,6,O,14841,1,.,.,1
SVN,01,f,7,1,O,1,1,1983,6,O,14531,1,.,.,1
SVN,01,f,8,1,O,1,1,1983,6,O,13885,1,.,.,1
SVN,01,f,9,1,O,1,1,1983,6,O,14134,1,.,.,1
SVN,01,f,10,1,O,1,1,1983,6,O,13966,1,.,.,1
SVN,01,f,11,1,O,1,1,1983,6,O,13494,1,.,.,1
SVN,01,f,12,1,O,1,1,1983,6,O,13324,1,.,.,1
SVN,01,f,13,1,O,1,1,1983,6,O,13350,1,.,.,1
SVN,01,f,14,1,O,1,1,1983,6,O,13406,1,.,.,1
SVN,01,f,15,1,O,1,1,1983,6,O,14254,1,.,.,1
SVN,01,f,16,1,O,1,1,1983,6,O,14540,1,.,.,1
SVN,01,f,17,1,O,1,1,1983,6,O,14726,1,.,.,1
SVN,01,f,18,1,O,1,1,1983,6,O,14264,1,.,.,1
SVN,01,f,19,1,O,1,1,1983,6,O,14344,1,.,.,1
SVN,01,f,20,1,O,1,1,1983,6,O,14531,1,.,.,1
SVN,01,f,21,1,O,1,1,1983,6,O,15051,1,.,.,1
SVN,01,f,22,1,O,1,1,1983,6,O,14975,1,.,.,1
SVN,01,f,23,1,O,1,1,1983,6,O,14897,1,.,.,1
SVN,01,f,24,1,O,1,1,1983,6,O,14833,1,.,.,1
SVN,01,f,25,1,O,1,1,1983,6,O,15842,1,.,.,1
SVN,01,f,26,1,O,1,1,1983,6,O,16084,1,.,.,1
SVN,01,f,27,1,O,1,1,1983,6,O,16043,1,.,.,1
SVN,01,f,28,1,O,1,1,1983,6,O,16055,1,.,.,1
SVN,01,f,29,1,O,1,1,1983,6,O,16155,1,.,.,1
SVN,01,f,30,1,O,1,1,1983,6,O,16105,1,.,.,1
SVN,01,f,31,1,O,1,1,1983,6,O,15564,1,.,.,1
SVN,01,f,32,1,O,1,1,1983,6,O,15877,1,.,.,1
SVN,01,f,33,1,O,1,1,1983,6,O,14358,1,.,.,1
SVN,01,f,34,1,O,1,1,1983,6,O,13985,1,.,.,1
SVN,01,f,35,1,O,1,1,1983,6,O,13423,1,.,.,1
SVN,01,f,36,1,O,1,1,1983,6,O,12533,1,.,.,1
SVN,01,f,37,1,O,1,1,1983,6,O,9117,1,.,.,1
SVN,01,f,38,1,O,1,1,1983,6,O,11255,1,.,.,1
SVN,01,f,39,1,O,1,1,1983,6,O,12825,1,.,.,1
SVN,01,f,40,1,O,1,1,1983,6,O,12855,1,.,.,1
SVN,01,f,41,1,O,1,1,1983,6,O,11866,1,.,.,1
SVN,01,f,42,1,O,1,1,1983,6,O,12198,1,.,.,1
SVN,01,f,43,1,O,1,1,1983,6,O,12084,1,.,.,1
SVN,01,f,44,1,O,1,1,1983,6,O,11808,1,.,.,1
SVN,01,f,45,1,O,1,1,1983,6,O,11672,1,.,.,1
SVN,01,f,46,1,O,1,1,1983,6,O,12173,1,.,.,1
SVN,01,f,47,1,O,1,1,1983,6,O,11873,1,.,.,1
SVN,01,f,48,1,O,1,1,1983,6,O,12230,1,.,.,1
SVN,01,f,49,1,O,1,1,1983,6,O,12452,1,.,.,1
SVN,01,f,50,1,O,1,1,1983,6,O,12860,1,.,.,1
SVN,01,f,51,1,O,1,1,1983,6,O,12691,1,.,.,1
SVN,01,f,52,1,O,1,1,1983,6,O,13242,1,.,.,1
SVN,01,f,53,1,O,1,1,1983,6,O,12096,1,.,.,1
SVN,01,f,54,1,O,1,1,1983,6,O,12236,1,.,.,1
SVN,01,f,55,1,O,1,1,1983,6,O,11938,1,.,.,1
SVN,01,f,56,1,O,1,1,1983,6,O,12146,1,.,.,1
SVN,01,f,57,1,O,1,1,1983,6,O,11954,1,.,.,1
SVN,01,f,58,1,O,1,1,1983,6,O,11665,1,.,.,1
SVN,01,f,59,1,O,1,1,1983,6,O,11464,1,.,.,1
SVN,01,f,60,1,O,1,1,1983,6,O,11074,1,.,.,1
SVN,01,f,61,1,O,1,1,1983,6,O,10424,1,.,.,1
SVN,01,f,62,1,O,1,1,1983,6,O,9383,1,.,.,1
SVN,01,f,63,1,O,1,1,1983,6,O,7905,1,.,.,1
SVN,01,f,64,1,O,1,1,1983,6,O,5127,1,.,.,1
SVN,01,f,65,1,O,1,1,1983,6,O,4512,1,.,.,1
SVN,01,f,66,1,O,1,1,1983,6,O,4708,1,.,.,1
SVN,01,f,67,1,O,1,1,1983,6,O,6499,1,.,.,1
SVN,01,f,68,1,O,1,1,1983,6,O,8732,1,.,.,1
SVN,01,f,69,1,O,1,1,1983,6,O,8822,1,.,.,1
SVN,01,f,70,1,O,1,1,1983,6,O,8823,1,.,.,1
SVN,01,f,71,1,O,1,1,1983,6,O,7902,1,.,.,1
SVN,01,f,72,1,O,1,1,1983,6,O,8084,1,.,.,1
SVN,01,f,73,1,O,1,1,1983,6,O,7672,1,.,.,1
SVN,01,f,74,1,O,1,1,1983,6,O,7061,1,.,.,1
SVN,01,f,75,1,O,1,1,1983,6,O,6499,1,.,.,1
SVN,01,f,76,1,O,1,1,1983,6,O,6219,1,.,.,1
SVN,01,f,77,1,O,1,1,1983,6,O,5624,1,.,.,1
SVN,01,f,78,1,O,1,1,1983,6,O,5135,1,.,.,1
SVN,01,f,79,1,O,1,1,1983,6,O,4605,1,.,.,1
SVN,01,f,80,1,O,1,1,1983,6,O,4209,1,.,.,1
SVN,01,f,81,1,O,1,1,1983,6,O,3673,1,.,.,1
SVN,01,f,82,1,O,1,1,1983,6,O,4838,1,.,.,1
SVN,01,f,83,1,O,1,1,1983,6,O,2713,1,.,.,1
SVN,01,f,84,1,O,1,1,1983,6,O,2178,1,.,.,1
SVN,01,f,85,1,O,1,1,1983,6,O,1861,1,.,.,1
SVN,01,f,86,1,O,1,1,1983,6,O,1430,1,.,.,1
SVN,01,f,87,1,O,1,1,1983,6,O,1158,1,.,.,1
SVN,01,f,88,1,O,1,1,1983,6,O,835,1,.,.,1
SVN,01,f,89,1,O,1,1,1983,6,O,617,1,.,.,1
SVN,01,f,90,1,O,1,1,1983,6,O,512,1,.,.,1
SVN,01,f,91,1,O,1,1,1983,6,O,343,1,.,.,1
SVN,01,f,92,1,O,1,1,1983,6,O,278,1,.,.,1
SVN,01,f,93,1,O,1,1,1983,6,O,230,1,.,.,1
SVN,01,f,94,1,O,1,1,1983,6,O,148,1,.,.,1
SVN,01,f,95,1,O,1,1,1983,6,O,78,1,.,.,1
SVN,01,f,96,1,O,1,1,1983,6,O,79,1,.,.,1
SVN,01,f,97,1,O,1,1,1983,6,O,41,1,.,.,1
SVN,01,f,98,1,O,1,1,1983,6,O,18,1,.,.,1
SVN,01,f,99,1,O,1,1,1983,6,O,20,1,.,.,1
SVN,01,f,100,+,O,1,1,1983,6,O,15,1,.,.,1
SVN,01,f,UNK,.,O,1,1,1983,6,O,0,1,.,.,1
SVN,01,f,TOT,.,O,1,1,1983,6,O,985910,1,.,.,1
SVN,01,m,0,1,O,1,1,1984,6,O,13794,1,.,.,1
SVN,01,m,1,1,O,1,1,1984,6,O,14752,1,.,.,1
SVN,01,m,2,1,O,1,1,1984,6,O,14936,1,.,.,1
SVN,01,m,3,1,O,1,1,1984,6,O,15492,1,.,.,1
SVN,01,m,4,1,O,1,1,1984,6,O,15859,1,.,.,1
SVN,01,m,5,1,O,1,1,1984,6,O,15801,1,.,.,1
SVN,01,m,6,1,O,1,1,1984,6,O,15551,1,.,.,1
SVN,01,m,7,1,O,1,1,1984,6,O,15713,1,.,.,1
SVN,01,m,8,1,O,1,1,1984,6,O,15297,1,.,.,1
SVN,01,m,9,1,O,1,1,1984,6,O,15100,1,.,.,1
SVN,01,m,10,1,O,1,1,1984,6,O,15041,1,.,.,1
SVN,01,m,11,1,O,1,1,1984,6,O,14894,1,.,.,1
SVN,01,m,12,1,O,1,1,1984,6,O,14544,1,.,.,1
SVN,01,m,13,1,O,1,1,1984,6,O,13764,1,.,.,1
SVN,01,m,14,1,O,1,1,1984,6,O,14230,1,.,.,1
SVN,01,m,15,1,O,1,1,1984,6,O,14517,1,.,.,1
SVN,01,m,16,1,O,1,1,1984,6,O,14548,1,.,.,1
SVN,01,m,17,1,O,1,1,1984,6,O,15472,1,.,.,1
SVN,01,m,18,1,O,1,1,1984,6,O,15074,1,.,.,1
SVN,01,m,19,1,O,1,1,1984,6,O,14460,1,.,.,1
SVN,01,m,20,1,O,1,1,1984,6,O,14647,1,.,.,1
SVN,01,m,21,1,O,1,1,1984,6,O,14968,1,.,.,1
SVN,01,m,22,1,O,1,1,1984,6,O,14890,1,.,.,1
SVN,01,m,23,1,O,1,1,1984,6,O,14717,1,.,.,1
SVN,01,m,24,1,O,1,1,1984,6,O,15181,1,.,.,1
SVN,01,m,25,1,O,1,1,1984,6,O,15233,1,.,.,1
SVN,01,m,26,1,O,1,1,1984,6,O,15859,1,.,.,1
SVN,01,m,27,1,O,1,1,1984,6,O,16842,1,.,.,1
SVN,01,m,28,1,O,1,1,1984,6,O,16982,1,.,.,1
SVN,01,m,29,1,O,1,1,1984,6,O,16794,1,.,.,1
SVN,01,m,30,1,O,1,1,1984,6,O,17333,1,.,.,1
SVN,01,m,31,1,O,1,1,1984,6,O,17232,1,.,.,1
SVN,01,m,32,1,O,1,1,1984,6,O,16641,1,.,.,1
SVN,01,m,33,1,O,1,1,1984,6,O,17105,1,.,.,1
SVN,01,m,34,1,O,1,1,1984,6,O,15659,1,.,.,1
SVN,01,m,35,1,O,1,1,1984,6,O,14865,1,.,.,1
SVN,01,m,36,1,O,1,1,1984,6,O,14542,1,.,.,1
SVN,01,m,37,1,O,1,1,1984,6,O,12999,1,.,.,1
SVN,01,m,38,1,O,1,1,1984,6,O,9840,1,.,.,1
SVN,01,m,39,1,O,1,1,1984,6,O,11963,1,.,.,1
SVN,01,m,40,1,O,1,1,1984,6,O,13141,1,.,.,1
SVN,01,m,41,1,O,1,1,1984,6,O,13236,1,.,.,1
SVN,01,m,42,1,O,1,1,1984,6,O,12730,1,.,.,1
SVN,01,m,43,1,O,1,1,1984,6,O,12873,1,.,.,1
SVN,01,m,44,1,O,1,1,1984,6,O,12460,1,.,.,1
SVN,01,m,45,1,O,1,1,1984,6,O,11976,1,.,.,1
SVN,01,m,46,1,O,1,1,1984,6,O,12012,1,.,.,1
SVN,01,m,47,1,O,1,1,1984,6,O,12459,1,.,.,1
SVN,01,m,48,1,O,1,1,1984,6,O,12151,1,.,.,1
SVN,01,m,49,1,O,1,1,1984,6,O,11800,1,.,.,1
SVN,01,m,50,1,O,1,1,1984,6,O,11682,1,.,.,1
SVN,01,m,51,1,O,1,1,1984,6,O,11955,1,.,.,1
SVN,01,m,52,1,O,1,1,1984,6,O,11674,1,.,.,1
SVN,01,m,53,1,O,1,1,1984,6,O,12427,1,.,.,1
SVN,01,m,54,1,O,1,1,1984,6,O,10917,1,.,.,1
SVN,01,m,55,1,O,1,1,1984,6,O,10559,1,.,.,1
SVN,01,m,56,1,O,1,1,1984,6,O,9720,1,.,.,1
SVN,01,m,57,1,O,1,1,1984,6,O,8549,1,.,.,1
SVN,01,m,58,1,O,1,1,1984,6,O,8237,1,.,.,1
SVN,01,m,59,1,O,1,1,1984,6,O,7541,1,.,.,1
SVN,01,m,60,1,O,1,1,1984,6,O,7638,1,.,.,1
SVN,01,m,61,1,O,1,1,1984,6,O,6931,1,.,.,1
SVN,01,m,62,1,O,1,1,1984,6,O,6551,1,.,.,1
SVN,01,m,63,1,O,1,1,1984,6,O,6025,1,.,.,1
SVN,01,m,64,1,O,1,1,1984,6,O,5185,1,.,.,1
SVN,01,m,65,1,O,1,1,1984,6,O,3236,1,.,.,1
SVN,01,m,66,1,O,1,1,1984,6,O,3012,1,.,.,1
SVN,01,m,67,1,O,1,1,1984,6,O,3119,1,.,.,1
SVN,01,m,68,1,O,1,1,1984,6,O,4264,1,.,.,1
SVN,01,m,69,1,O,1,1,1984,6,O,5708,1,.,.,1
SVN,01,m,70,1,O,1,1,1984,6,O,5562,1,.,.,1
SVN,01,m,71,1,O,1,1,1984,6,O,5561,1,.,.,1
SVN,01,m,72,1,O,1,1,1984,6,O,5012,1,.,.,1
SVN,01,m,73,1,O,1,1,1984,6,O,4987,1,.,.,1
SVN,01,m,74,1,O,1,1,1984,6,O,4636,1,.,.,1
SVN,01,m,75,1,O,1,1,1984,6,O,4021,1,.,.,1
SVN,01,m,76,1,O,1,1,1984,6,O,3451,1,.,.,1
SVN,01,m,77,1,O,1,1,1984,6,O,3186,1,.,.,1
SVN,01,m,78,1,O,1,1,1984,6,O,2793,1,.,.,1
SVN,01,m,79,1,O,1,1,1984,6,O,2421,1,.,.,1
SVN,01,m,80,1,O,1,1,1984,6,O,2171,1,.,.,1
SVN,01,m,81,1,O,1,1,1984,6,O,1732,1,.,.,1
SVN,01,m,82,1,O,1,1,1984,6,O,1519,1,.,.,1
SVN,01,m,83,1,O,1,1,1984,6,O,2239,1,.,.,1
SVN,01,m,84,1,O,1,1,1984,6,O,1069,1,.,.,1
SVN,01,m,85,1,O,1,1,1984,6,O,720,1,.,.,1
SVN,01,m,86,1,O,1,1,1984,6,O,549,1,.,.,1
SVN,01,m,87,1,O,1,1,1984,6,O,416,1,.,.,1
SVN,01,m,88,1,O,1,1,1984,6,O,318,1,.,.,1
SVN,01,m,89,1,O,1,1,1984,6,O,249,1,.,.,1
SVN,01,m,90,1,O,1,1,1984,6,O,140,1,.,.,1
SVN,01,m,91,1,O,1,1,1984,6,O,113,1,.,.,1
SVN,01,m,92,1,O,1,1,1984,6,O,97,1,.,.,1
SVN,01,m,93,1,O,1,1,1984,6,O,56,1,.,.,1
