Slovenia,  Exposures (Lexis triangle)	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1983    0      1983     6675.66     7007.03    13682.69
 1983    0      1982     6904.70     7340.52    14245.22
 1983    1      1982     6962.86     7405.72    14368.57
 1983    1      1981     6873.81     7279.83    14153.64
 1983    2      1981     7225.05     7647.59    14872.65
 1983    2      1980     7121.96     7579.21    14701.16
 1983    3      1980     7423.83     7900.44    15324.27
 1983    3      1979     7151.23     7786.28    14937.51
 1983    4      1979     7403.78     8062.26    15466.04
 1983    4      1978     7065.98     7774.17    14840.15
 1983    5      1978     7282.56     8012.05    15294.61
 1983    5      1977     7056.78     7625.84    14682.62
 1983    6      1977     7339.34     7920.62    15259.96
 1983    6      1976     7269.60     7697.73    14967.33
 1983    7      1976     7573.65     8016.80    15590.44
 1983    7      1975     7174.98     7555.52    14730.50
 1983    8      1975     7365.14     7744.31    15109.45
 1983    8      1974     6753.12     7335.98    14089.10
 1983    9      1974     7127.96     7755.78    14883.74
 1983    9      1973     6910.76     7354.90    14265.66
 1983   10      1973     7228.88     7686.77    14915.65
 1983   10      1972     6826.35     7272.13    14098.48
 1983   11      1972     7140.69     7614.06    14754.75
 1983   11      1971     6648.43     7160.02    13808.44
 1983   12      1971     6853.69     7378.41    14232.10
 1983   12      1970     6497.31     6711.88    13209.19
 1983   13      1970     6829.09     7052.49    13881.58
 1983   13      1969     6675.00     7116.50    13791.50
 1983   14      1969     6680.33     7115.33    13795.67
 1983   14      1968     6702.67     7244.83    13947.50
 1983   15      1968     6726.17     7259.00    13985.17
 1983   15      1967     7126.67     7260.83    14387.50
 1983   16      1967     7150.67     7275.17    14425.83
 1983   16      1966     7269.83     7725.00    14994.83
 1983   17      1966     7335.17     7737.50    15072.67
 1983   17      1965     7362.50     7503.17    14865.67
 1983   18      1965     7430.67     7538.50    14969.17
 1983   18      1964     7131.67     7198.67    14330.33
 1983   19      1964     7226.33     7231.67    14458.00
 1983   19      1963     7170.83     7292.33    14463.17
 1983   20      1963     7295.00     7325.83    14620.83
 1983   20      1962     7264.83     7377.83    14642.67
 1983   21      1962     7360.50     7487.00    14847.50
 1983   21      1961     7525.00     7346.00    14871.00
 1983   22      1961     7596.17     7447.67    15043.83
 1983   22      1960     7486.83     7250.50    14737.33
 1983   23      1960     7539.00     7360.17    14899.17
 1983   23      1959     7447.50     7508.33    14955.83
 1983   24      1959     7486.17     7592.67    15078.83
 1983   24      1958     7416.17     7545.50    14961.67
 1983   25      1958     7452.83     7618.17    15071.00
 1983   25      1957     7920.50     7894.17    15814.67
 1983   26      1957     7952.83     7931.67    15884.50
 1983   26      1956     8041.17     8393.00    16434.17
 1983   27      1956     8050.33     8424.50    16474.83
 1983   27      1955     8021.00     8487.33    16508.33
 1983   28      1955     8016.67     8493.33    16510.00
 1983   28      1954     8026.83     8398.83    16425.67
 1983   29      1954     8042.33     8400.50    16442.83
 1983   29      1953     8076.67     8686.17    16762.83
 1983   30      1953     8086.17     8669.67    16755.83
 1983   30      1952     8052.00     8643.33    16695.33
 1983   31      1952     8045.00     8618.50    16663.50
 1983   31      1951     7781.00     8341.50    16122.50
 1983   32      1951     7774.33     8324.17    16098.50
 1983   32      1950     7936.83     8567.17    16504.00
 1983   33      1950     7945.17     8556.00    16501.17
 1983   33      1949     7178.17     7848.83    15027.00
 1983   34      1949     7169.33     7832.50    15001.83
 1983   34      1948     6991.17     7462.67    14453.83
 1983   35      1948     6977.50     7437.17    14414.67
 1983   35      1947     6709.83     7297.83    14007.67
 1983   36      1947     6699.50     7273.83    13973.33
 1983   36      1946     6265.33     6522.33    12787.67
 1983   37      1946     6265.00     6502.50    12767.50
 1983   37      1945     4557.33     4948.50     9505.83
 1983   38      1945     4551.67     4923.00     9474.67
 1983   38      1944     5627.00     6015.83    11642.83
 1983   39      1944     5625.83     5987.17    11613.00
 1983   39      1943     6410.50     6596.67    13007.17
 1983   40      1943     6402.67     6574.50    12977.17
 1983   40      1942     6425.50     6643.17    13068.67
 1983   41      1942     6412.50     6622.33    13034.83
 1983   41      1941     5932.00     6394.33    12326.33
 1983   42      1941     5930.50     6370.33    12300.83
 1983   42      1940     6096.17     6467.83    12564.00
 1983   43      1940     6088.17     6442.33    12530.50
 1983   43      1939     6040.50     6273.33    12313.83
 1983   44      1939     6033.50     6237.67    12271.17
 1983   44      1938     5901.50     6026.83    11928.33
 1983   45      1938     5889.00     5994.83    11883.83
 1983   45      1937     5832.83     6039.33    11872.17
 1983   46      1937     5826.00     6014.00    11840.00
 1983   46      1936     6083.17     6274.83    12358.00
 1983   47      1936     6068.83     6239.83    12308.67
 1983   47      1935     5932.67     6116.17    12048.83
 1983   48      1935     5919.00     6085.67    12004.67
