PopName,Area,Year,YearReg,Month,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
SWE,01,1911,1911,1,63,O,11122,.,.,.,1
SWE,01,1911,1911,2,63,O,10583,.,.,.,1
SWE,01,1911,1911,3,63,O,11934,.,.,.,1
SWE,01,1911,1911,4,63,O,11152,.,.,.,1
SWE,01,1911,1911,5,63,O,11242,.,.,.,1
SWE,01,1911,1911,6,63,O,10574,.,.,.,1
SWE,01,1911,1911,7,63,O,11029,.,.,.,1
SWE,01,1911,1911,8,63,O,10869,.,.,.,1
SWE,01,1911,1911,9,63,O,11859,.,.,.,1
SWE,01,1911,1911,10,63,O,11186,.,.,.,1
SWE,01,1911,1911,11,63,O,10362,.,.,.,1
SWE,01,1911,1911,12,63,O,11065,.,.,.,1
SWE,01,1911,1911,TOT,63,O,132977,.,.,.,1
SWE,01,1912,1912,1,63,O,11562,.,.,.,1
SWE,01,1912,1912,2,63,O,10829,.,.,.,1
SWE,01,1912,1912,3,63,O,11848,.,.,.,1
SWE,01,1912,1912,4,63,O,11287,.,.,.,1
SWE,01,1912,1912,5,63,O,11164,.,.,.,1
SWE,01,1912,1912,6,63,O,10667,.,.,.,1
SWE,01,1912,1912,7,63,O,10849,.,.,.,1
SWE,01,1912,1912,8,63,O,10846,.,.,.,1
SWE,01,1912,1912,9,63,O,11820,.,.,.,1
SWE,01,1912,1912,10,63,O,10819,.,.,.,1
SWE,01,1912,1912,11,63,O,10334,.,.,.,1
SWE,01,1912,1912,12,63,O,10843,.,.,.,1
SWE,01,1912,1912,TOT,63,O,132868,.,.,.,1
SWE,01,1913,1913,1,63,O,11042,.,.,.,1
SWE,01,1913,1913,2,63,O,10488,.,.,.,1
SWE,01,1913,1913,3,63,O,11783,.,.,.,1
SWE,01,1913,1913,4,63,O,11090,.,.,.,1
SWE,01,1913,1913,5,63,O,10989,.,.,.,1
SWE,01,1913,1913,6,63,O,10532,.,.,.,1
SWE,01,1913,1913,7,63,O,10754,.,.,.,1
SWE,01,1913,1913,8,63,O,10575,.,.,.,1
SWE,01,1913,1913,9,63,O,11479,.,.,.,1
SWE,01,1913,1913,10,63,O,10392,.,.,.,1
SWE,01,1913,1913,11,63,O,9921,.,.,.,1
SWE,01,1913,1913,12,63,O,11155,.,.,.,1
SWE,01,1913,1913,TOT,63,O,130200,.,.,.,1
SWE,01,1914,1914,1,63,O,10864,.,.,.,1
SWE,01,1914,1914,2,63,O,10124,.,.,.,1
SWE,01,1914,1914,3,63,O,11785,.,.,.,1
SWE,01,1914,1914,4,63,O,11101,.,.,.,1
SWE,01,1914,1914,5,63,O,11182,.,.,.,1
SWE,01,1914,1914,6,63,O,10484,.,.,.,1
SWE,01,1914,1914,7,63,O,10579,.,.,.,1
SWE,01,1914,1914,8,63,O,10454,.,.,.,1
SWE,01,1914,1914,9,63,O,11300,.,.,.,1
SWE,01,1914,1914,10,63,O,10556,.,.,.,1
SWE,01,1914,1914,11,63,O,10098,.,.,.,1
SWE,01,1914,1914,12,63,O,10931,.,.,.,1
SWE,01,1914,1914,TOT,63,O,129458,.,.,.,1
SWE,01,1915,1915,1,63,O,11058,.,.,.,1
SWE,01,1915,1915,2,63,O,9820,.,.,.,1
SWE,01,1915,1915,3,63,O,11525,.,.,.,1
SWE,01,1915,1915,4,63,O,10263,.,.,.,1
SWE,01,1915,1915,5,63,O,10005,.,.,.,1
SWE,01,1915,1915,6,63,O,10148,.,.,.,1
SWE,01,1915,1915,7,63,O,10529,.,.,.,1
SWE,01,1915,1915,8,63,O,10203,.,.,.,1
SWE,01,1915,1915,9,63,O,10261,.,.,.,1
SWE,01,1915,1915,10,63,O,9530,.,.,.,1
SWE,01,1915,1915,11,63,O,9271,.,.,.,1
SWE,01,1915,1915,12,63,O,10384,.,.,.,1
SWE,01,1915,1915,TOT,63,O,122997,.,.,.,1
SWE,01,1916,1916,1,63,O,10345,.,.,.,1
SWE,01,1916,1916,2,63,O,9810,.,.,.,1
SWE,01,1916,1916,3,63,O,11234,.,.,.,1
SWE,01,1916,1916,4,63,O,10674,.,.,.,1
SWE,01,1916,1916,5,63,O,10645,.,.,.,1
SWE,01,1916,1916,6,63,O,10110,.,.,.,1
SWE,01,1916,1916,7,63,O,10110,.,.,.,1
SWE,01,1916,1916,8,63,O,9612,.,.,.,1
SWE,01,1916,1916,9,63,O,10352,.,.,.,1
SWE,01,1916,1916,10,63,O,9723,.,.,.,1
SWE,01,1916,1916,11,63,O,9270,.,.,.,1
SWE,01,1916,1916,12,63,O,9794,.,.,.,1
SWE,01,1916,1916,TOT,63,O,121679,.,.,.,1
SWE,01,1917,1917,1,63,O,10578,.,.,.,1
SWE,01,1917,1917,2,63,O,9384,.,.,.,1
SWE,01,1917,1917,3,63,O,11276,.,.,.,1
SWE,01,1917,1917,4,63,O,10442,.,.,.,1
SWE,01,1917,1917,5,63,O,10919,.,.,.,1
SWE,01,1917,1917,6,63,O,9768,.,.,.,1
SWE,01,1917,1917,7,63,O,9957,.,.,.,1
SWE,01,1917,1917,8,63,O,9681,.,.,.,1
SWE,01,1917,1917,9,63,O,10197,.,.,.,1
SWE,01,1917,1917,10,63,O,9761,.,.,.,1
SWE,01,1917,1917,11,63,O,9124,.,.,.,1
SWE,01,1917,1917,12,63,O,9768,.,.,.,1
SWE,01,1917,1917,TOT,63,O,120855,.,.,.,1
SWE,01,1918,1918,1,63,O,10082,.,.,.,1
SWE,01,1918,1918,2,63,O,9579,.,.,.,1
SWE,01,1918,1918,3,63,O,10700,.,.,.,1
SWE,01,1918,1918,4,63,O,9770,.,.,.,1
SWE,01,1918,1918,5,63,O,10291,.,.,.,1
SWE,01,1918,1918,6,63,O,9058,.,.,.,1
SWE,01,1918,1918,7,63,O,9326,.,.,.,1
SWE,01,1918,1918,8,63,O,9580,.,.,.,1
SWE,01,1918,1918,9,63,O,10532,.,.,.,1
SWE,01,1918,1918,10,63,O,9853,.,.,.,1
SWE,01,1918,1918,11,63,O,9214,.,.,.,1
SWE,01,1918,1918,12,63,O,9970,.,.,.,1
SWE,01,1918,1918,TOT,63,O,117955,.,.,.,1
SWE,01,1919,1919,1,63,O,9513,.,.,.,1
SWE,01,1919,1919,2,63,O,9080,.,.,.,1
SWE,01,1919,1919,3,63,O,9753,.,.,.,1
SWE,01,1919,1919,4,63,O,9545,.,.,.,1
SWE,01,1919,1919,5,63,O,9066,.,.,.,1
SWE,01,1919,1919,6,63,O,7905,.,.,.,1
SWE,01,1919,1919,7,63,O,7703,.,.,.,1
SWE,01,1919,1919,8,63,O,8243,.,.,.,1
SWE,01,1919,1919,9,63,O,10504,.,.,.,1
SWE,01,1919,1919,10,63,O,11104,.,.,.,1
SWE,01,1919,1919,11,63,O,10963,.,.,.,1
SWE,01,1919,1919,12,63,O,11814,.,.,.,1
SWE,01,1919,1919,TOT,63,O,115193,.,.,.,1
SWE,01,1920,1920,1,63,O,12511,.,.,.,1
SWE,01,1920,1920,2,63,O,11941,.,.,.,1
SWE,01,1920,1920,3,63,O,13332,.,.,.,1
SWE,01,1920,1920,4,63,O,12476,.,.,.,1
SWE,01,1920,1920,5,63,O,12407,.,.,.,1
SWE,01,1920,1920,6,63,O,11366,.,.,.,1
SWE,01,1920,1920,7,63,O,11010,.,.,.,1
SWE,01,1920,1920,8,63,O,10936,.,.,.,1
SWE,01,1920,1920,9,63,O,11296,.,.,.,1
SWE,01,1920,1920,10,63,O,10591,.,.,.,1
SWE,01,1920,1920,11,63,O,10072,.,.,.,1
SWE,01,1920,1920,12,63,O,10815,.,.,.,1
SWE,01,1920,1920,TOT,63,O,138753,.,.,.,1
SWE,01,1921,1921,1,63,O,10889,.,.,.,1
SWE,01,1921,1921,2,63,O,10209,.,.,.,1
SWE,01,1921,1921,3,63,O,11826,.,.,.,1
SWE,01,1921,1921,4,63,O,11295,.,.,.,1
SWE,01,1921,1921,5,63,O,11474,.,.,.,1
SWE,01,1921,1921,6,63,O,10365,.,.,.,1
SWE,01,1921,1921,7,63,O,10700,.,.,.,1
SWE,01,1921,1921,8,63,O,10166,.,.,.,1
SWE,01,1921,1921,9,63,O,10418,.,.,.,1
SWE,01,1921,1921,10,63,O,9927,.,.,.,1
SWE,01,1921,1921,11,63,O,9867,.,.,.,1
SWE,01,1921,1921,12,63,O,10587,.,.,.,1
SWE,01,1921,1921,TOT,63,O,127723,.,.,.,1
