PopName,Area,Year,YearReg,YearInterval,Sex,Age,AgeInterval,Lexis,RefCode,Access,Deaths,NoteCode1,NoteCode2,NoteCode3,LDB
TWN,10,1970,1970,1,f,0,1,RR,10,O,2770,.,.,.,1
TWN,10,1970,1970,1,f,1,4,RR,10,O,1990,.,.,.,1
TWN,10,1970,1970,1,f,5,5,RR,10,O,517,.,.,.,1
TWN,10,1970,1970,1,f,10,5,RR,10,O,428,.,.,.,1
TWN,10,1970,1970,1,f,15,5,RR,10,O,614,.,.,.,1
TWN,10,1970,1970,1,f,20,5,RR,10,O,520,.,.,.,1
TWN,10,1970,1970,1,f,25,5,RR,10,O,526,.,.,.,1
TWN,10,1970,1970,1,f,30,5,RR,10,O,707,.,.,.,1
TWN,10,1970,1970,1,f,35,5,RR,10,O,766,.,.,.,1
TWN,10,1970,1970,1,f,40,5,RR,10,O,915,.,.,.,1
TWN,10,1970,1970,1,f,45,5,RR,10,O,1131,.,.,.,1
TWN,10,1970,1970,1,f,50,5,RR,10,O,1381,.,.,.,1
TWN,10,1970,1970,1,f,55,5,RR,10,O,1704,.,.,.,1
TWN,10,1970,1970,1,f,60,5,RR,10,O,2411,.,.,.,1
TWN,10,1970,1970,1,f,65,5,RR,10,O,2758,.,.,.,1
TWN,10,1970,1970,1,f,70,5,RR,10,O,3061,.,.,.,1
TWN,10,1970,1970,1,f,75,5,RR,10,O,2808,.,.,.,1
TWN,10,1970,1970,1,f,80,+,RR,10,O,4478,.,.,.,1
TWN,10,1970,1970,1,f,TOT,.,.,10,O,29485,.,.,.,1
TWN,10,1971,1971,1,f,0,1,RR,10,O,2492,.,.,.,1
TWN,10,1971,1971,1,f,1,1,RR,10,O,1017,.,.,.,1
TWN,10,1971,1971,1,f,2,1,RR,10,O,472,.,.,.,1
TWN,10,1971,1971,1,f,3,1,RR,10,O,236,.,.,.,1
TWN,10,1971,1971,1,f,4,1,RR,10,O,175,.,.,.,1
TWN,10,1971,1971,1,f,5,5,RR,10,O,487,.,.,.,1
TWN,10,1971,1971,1,f,10,5,RR,10,O,358,.,.,.,1
TWN,10,1971,1971,1,f,15,5,RR,10,O,591,.,.,.,1
TWN,10,1971,1971,1,f,20,5,RR,10,O,514,.,.,.,1
TWN,10,1971,1971,1,f,25,5,RR,10,O,476,.,.,.,1
TWN,10,1971,1971,1,f,30,5,RR,10,O,608,.,.,.,1
TWN,10,1971,1971,1,f,35,5,RR,10,O,780,.,.,.,1
TWN,10,1971,1971,1,f,40,5,RR,10,O,973,.,.,.,1
TWN,10,1971,1971,1,f,45,5,RR,10,O,1202,.,.,.,1
TWN,10,1971,1971,1,f,50,5,RR,10,O,1447,.,.,.,1
TWN,10,1971,1971,1,f,55,5,RR,10,O,1815,.,.,.,1
TWN,10,1971,1971,1,f,60,5,RR,10,O,2389,.,.,.,1
TWN,10,1971,1971,1,f,65,5,RR,10,O,2793,.,.,.,1
TWN,10,1971,1971,1,f,70,5,RR,10,O,3209,.,.,.,1
TWN,10,1971,1971,1,f,75,5,RR,10,O,2717,.,.,.,1
TWN,10,1971,1971,1,f,80,+,RR,10,O,4607,.,.,.,1
TWN,10,1971,1971,1,f,TOT,.,.,10,O,29358,.,.,.,1
TWN,10,1972,1972,1,f,0,1,RR,11,O,2475,.,.,.,1
TWN,10,1972,1972,1,f,1,1,RR,11,O,574,.,.,.,1
TWN,10,1972,1972,1,f,2,1,RR,11,O,357,.,.,.,1
TWN,10,1972,1972,1,f,3,1,RR,11,O,251,.,.,.,1
