PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
TWN,10,f,0,1,C,16,12,1970,32,O,171587,.,.,.,1
TWN,10,f,1,1,C,16,12,1970,32,O,186789,.,.,.,1
TWN,10,f,2,1,C,16,12,1970,32,O,186947,.,.,.,1
TWN,10,f,3,1,C,16,12,1970,32,O,178943,.,.,.,1
TWN,10,f,4,1,C,16,12,1970,32,O,195645,.,.,.,1
TWN,10,f,5,1,C,16,12,1970,32,O,196223,.,.,.,1
TWN,10,f,6,1,C,16,12,1970,32,O,203402,.,.,.,1
TWN,10,f,7,1,C,16,12,1970,32,O,205966,.,.,.,1
TWN,10,f,8,1,C,16,12,1970,32,O,203581,.,.,.,1
TWN,10,f,9,1,C,16,12,1970,32,O,203307,.,.,.,1
TWN,10,f,10,1,C,16,12,1970,32,O,199323,.,.,.,1
TWN,10,f,11,1,C,16,12,1970,32,O,196468,.,.,.,1
TWN,10,f,12,1,C,16,12,1970,32,O,195139,.,.,.,1
TWN,10,f,13,1,C,16,12,1970,32,O,185166,.,.,.,1
TWN,10,f,14,1,C,16,12,1970,32,O,189126,.,.,.,1
TWN,10,f,15,1,C,16,12,1970,32,O,186423,.,.,.,1
TWN,10,f,16,1,C,16,12,1970,32,O,175491,.,.,.,1
TWN,10,f,17,1,C,16,12,1970,32,O,170661,.,.,.,1
TWN,10,f,18,1,C,16,12,1970,32,O,167350,.,.,.,1
TWN,10,f,19,1,C,16,12,1970,32,O,170484,.,.,.,1
TWN,10,f,20,1,C,16,12,1970,32,O,144429,.,.,.,1
TWN,10,f,21,1,C,16,12,1970,32,O,134250,.,.,.,1
TWN,10,f,22,1,C,16,12,1970,32,O,114459,.,.,.,1
TWN,10,f,23,1,C,16,12,1970,32,O,101082,.,.,.,1
TWN,10,f,24,1,C,16,12,1970,32,O,84037,.,.,.,1
TWN,10,f,25,1,C,16,12,1970,32,O,76745,.,.,.,1
TWN,10,f,26,1,C,16,12,1970,32,O,92046,.,.,.,1
TWN,10,f,27,1,C,16,12,1970,32,O,92269,.,.,.,1
TWN,10,f,28,1,C,16,12,1970,32,O,92142,.,.,.,1
