Taiwan,  Exposures (Lexis triangle)	Last modified: 18 Dec 2020;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1970    0      1970    86561.48    92535.13   179096.61
 1970    0      1969    93438.52    98486.99   191925.51
 1970    1      1969    93150.00    98136.96   191286.97
 1970    1      1968    93741.19    98670.98   192412.16
 1970    2      1968    93511.88    98396.80   191908.68
 1970    2      1967    89807.01    95114.06   184921.07
 1970    3      1967    89659.63    94936.91   184596.53
 1970    3      1966    97588.57   104372.15   201960.72
 1970    4      1966    97488.19   104251.15   201739.35
 1970    4      1965    98154.17   103759.03   201913.21
 1970    5      1965    98089.51   103677.29   201766.81
 1970    5      1964   101570.68   105659.10   207229.78
 1970    6      1964   101522.77   105594.94   207117.71
 1970    6      1963   102937.59   107781.24   210718.83
 1970    7      1963   102902.07   107730.37   210632.43
 1970    7      1962   101833.98   107805.64   209639.63
 1970    8      1962   101806.94   107764.49   209571.43
 1970    8      1961   101643.91   105485.61   207129.52
 1970    9      1961   101621.11   105450.50   207071.60
 1970    9      1960    99736.91   106759.55   206496.46
 1970   10      1960    99714.88   106727.22   206442.10
 1970   10      1959    98305.27   104549.28   202854.55
 1970   11      1959    98280.88   104515.89   202796.77
 1970   11      1958    97593.03   100642.23   198235.26
 1970   12      1958    97566.19   100605.94   198172.12
 1970   12      1957    92791.45    96630.03   189421.48
 1970   13      1957    92762.20    96589.27   189351.47
 1970   13      1956    94505.86    99791.58   194297.44
 1970   14      1956    94472.35    99742.02   194214.37
 1970   14      1955    93290.37    99619.47   192909.83
 1970   15      1955    93253.52    99561.24   192814.76
 1970   15      1954    88008.67    93569.47   181578.14
 1970   16      1954    87969.09    93502.25   181471.34
 1970   16      1953    85467.00    90022.11   175489.10
 1970   17      1953    85425.43    89948.28   175373.71
 1970   17      1952    83785.20    88382.78   172167.99
 1970   18      1952    83743.29    88305.39   172048.68
 1970   18      1951    85222.31    89891.80   175114.11
 1970   19      1951    85179.30    89810.32   174989.62
 1970   19      1950    72780.00    75394.96   148174.95
 1970   20      1950    72741.10    75317.87   148058.97
 1970   20      1949    67368.91    68856.77   136225.69
 1970   21      1949    67332.46    68783.88   136116.34
 1970   21      1948    57686.78    60735.05   118421.83
 1970   22      1948    57651.81    60664.08   118315.89
 1970   22      1947    50867.12    54590.21   105457.32
 1970   23      1947    50833.61    54521.67   105355.28
 1970   23      1946    42411.19    43875.82    86287.01
 1970   24      1946    42378.60    43809.29    86187.89
 1970   24      1945    38562.42    39995.13    78557.55
 1970   25      1945    38530.13    39929.82    78459.95
 1970   25      1944    45742.84    46066.30    91809.14
 1970   26      1944    45710.29    46002.14    91712.43
 1970   26      1943    46173.24    48060.78    94234.02
 1970   27      1943    46139.55    47996.31    94135.86
 1970   27      1942    46116.03    46670.19    92786.22
 1970   28      1942    46080.67    46605.26    92685.93
 1970   28      1941    46397.77    47003.28    93401.05
 1970   29      1941    46359.95    46936.49    93296.44
 1970   29      1940    47658.39    47800.64    95459.03
 1970   30      1940    47616.89    47730.99    95347.87
 1970   30      1939    46209.75    46238.88    92448.63
 1970   31      1939    46165.02    46165.72    92330.74
 1970   31      1938    43838.01    44133.51    87971.52
 1970   32      1938    43791.52    44057.86    87849.38
 1970   32      1937    42941.22    42215.96    85157.18
 1970   33      1937    42892.00    42135.79    85027.79
 1970   33      1936    42794.77    42534.97    85329.75
 1970   34      1936    42745.94    42453.21    85199.15
 1970   34      1935    43180.65    42707.00    85887.64
 1970   35      1935    43130.79    42621.21    85752.00
 1970   35      1934    40761.20    43452.83    84214.03
 1970   36      1934    40711.44    43362.77    84074.20
 1970   36      1933    38157.65    44246.07    82403.72
 1970   37      1933    38107.56    44150.80    82258.36
 1970   37      1932    38513.00    45659.54    84172.55
 1970   38      1932    38462.23    45558.99    84021.22
 1970   38      1931    37850.27    49132.36    86982.63
 1970   39      1931    37796.91    49022.09    86818.99
 1970   39      1930    37199.84    51399.75    88599.58
 1970   40      1930    37145.00    51282.99    88427.99
 1970   40      1929    35019.67    50278.26    85297.93
 1970   41      1929    34962.65    50151.60    85114.25
 1970   41      1928    35148.76    49670.74    84819.50
 1970   42      1928    35089.02    49535.26    84624.28
 1970   42      1927    32599.89    49657.89    82257.78
 1970   43      1927    32537.99    49514.23    82052.22
 1970   43      1926    31860.15    47666.38    79526.53
 1970   44      1926    31794.05    47511.65    79305.71
 1970   44      1925    30215.11    46862.79    77077.89
 1970   45      1925    30148.54    46705.37    76853.91
 1970   45      1924    28103.08    42534.28    70637.36
 1970   46      1924    28031.64    42363.94    70395.58
 1970   46      1923    27296.43    38989.07    66285.50
 1970   47      1923    27224.45    38818.36    66042.80
 1970   47      1922    27934.28    38527.11    66461.39
 1970   48      1922    27856.64    38345.41    66202.05
 1970   48      1921    27676.77    39038.39    66715.16
 1970   49      1921    27594.93    38849.76    66444.69
