Taiwan, Life tables (period 1x5), Males	Last modified: 18 Dec 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1970-1974        0      0.01590  0.01568  0.12  100000    1568   98616  6727509  67.28
1970-1974        1      0.00435  0.00434  0.50   98432     427   98218  6628893  67.35
1970-1974        2      0.00270  0.00270  0.50   98005     264   97873  6530675  66.64
1970-1974        3      0.00163  0.00162  0.50   97740     159   97661  6432803  65.82
1970-1974        4      0.00106  0.00106  0.50   97582     104   97530  6335142  64.92
1970-1974        5      0.00087  0.00087  0.50   97478      85   97436  6237612  63.99
1970-1974        6      0.00076  0.00076  0.50   97393      74   97356  6140176  63.05
1970-1974        7      0.00067  0.00067  0.50   97319      66   97286  6042820  62.09
1970-1974        8      0.00060  0.00060  0.50   97253      59   97224  5945534  61.13
1970-1974        9      0.00056  0.00056  0.50   97195      54   97168  5848310  60.17
1970-1974       10      0.00052  0.00052  0.50   97141      51   97115  5751143  59.20
1970-1974       11      0.00053  0.00053  0.50   97090      51   97064  5654027  58.24
1970-1974       12      0.00057  0.00057  0.50   97038      56   97010  5556963  57.27
1970-1974       13      0.00065  0.00065  0.50   96983      63   96951  5459953  56.30
1970-1974       14      0.00076  0.00076  0.50   96919      74   96882  5363002  55.33
1970-1974       15      0.00091  0.00091  0.50   96845      88   96801  5266120  54.38
1970-1974       16      0.00105  0.00105  0.50   96757     102   96706  5169319  53.43
1970-1974       17      0.00118  0.00118  0.50   96655     114   96599  5072612  52.48
1970-1974       18      0.00128  0.00128  0.50   96542     124   96480  4976013  51.54
1970-1974       19      0.00139  0.00139  0.50   96418     134   96351  4879533  50.61
1970-1974       20      0.00150  0.00150  0.50   96285     144   96213  4783182  49.68
1970-1974       21      0.00160  0.00160  0.50   96140     154   96063  4686969  48.75
1970-1974       22      0.00171  0.00171  0.50   95986     164   95904  4590906  47.83
1970-1974       23      0.00184  0.00184  0.50   95822     176   95735  4495002  46.91
1970-1974       24      0.00196  0.00196  0.50   95647     187   95553  4399267  46.00
1970-1974       25      0.00200  0.00200  0.50   95460     191   95364  4303714  45.08
1970-1974       26      0.00202  0.00201  0.50   95269     192   95173  4208350  44.17
1970-1974       27      0.00204  0.00203  0.50   95077     193   94980  4113177  43.26
1970-1974       28      0.00206  0.00206  0.50   94884     195   94786  4018196  42.35
1970-1974       29      0.00209  0.00209  0.50   94688     198   94589  3923410  41.43
1970-1974       30      0.00219  0.00219  0.50   94490     207   94387  3828821  40.52
1970-1974       31      0.00234  0.00234  0.50   94284     220   94174  3734434  39.61
1970-1974       32      0.00249  0.00249  0.50   94063     234   93946  3640260  38.70
1970-1974       33      0.00264  0.00264  0.50   93829     248   93705  3546314  37.80
1970-1974       34      0.00278  0.00278  0.50   93581     260   93451  3452609  36.89
1970-1974       35      0.00290  0.00290  0.50   93321     270   93186  3359158  36.00
1970-1974       36      0.00304  0.00303  0.50   93051     282   92910  3265971  35.10
1970-1974       37      0.00321  0.00321  0.50   92769     297   92620  3173062  34.20
1970-1974       38      0.00341  0.00341  0.50   92471     315   92314  3080442  33.31
1970-1974       39      0.00361  0.00361  0.50   92157     333   91990  2988128  32.42
1970-1974       40      0.00385  0.00384  0.50   91824     353   91648  2896137  31.54
1970-1974       41      0.00408  0.00407  0.50   91471     373   91285  2804490  30.66
1970-1974       42      0.00430  0.00429  0.50   91098     391   90903  2713205  29.78
1970-1974       43      0.00454  0.00453  0.50   90708     411   90502  2622302  28.91
1970-1974       44      0.00485  0.00483  0.50   90297     437   90078  2531800  28.04
1970-1974       45      0.00521  0.00520  0.50   89860     467   89626  2441721  27.17
1970-1974       46      0.00568  0.00566  0.50   89393     506   89140  2352095  26.31
1970-1974       47      0.00622  0.00620  0.50   88887     551   88611  2262955  25.46
1970-1974       48      0.00676  0.00674  0.50   88336     595   88038  2174343  24.61
1970-1974       49      0.00739  0.00736  0.50   87741     646   87418  2086305  23.78
1970-1974       50      0.00813  0.00810  0.50   87095     705   86742  1998887  22.95
1970-1974       51      0.00896  0.00892  0.50   86389     771   86004  1912145  22.13
1970-1974       52      0.00992  0.00988  0.50   85619     846   85196  1826141  21.33
1970-1974       53      0.01113  0.01107  0.50   84773     938   84304  1740945  20.54
1970-1974       54      0.01244  0.01236  0.50   83835    1036   83317  1656641  19.76
1970-1974       55      0.01364  0.01355  0.50   82799    1122   82238  1573324  19.00
1970-1974       56      0.01475  0.01464  0.50   81677    1196   81079  1491085  18.26
1970-1974       57      0.01576  0.01563  0.50   80482    1258   79852  1410006  17.52
1970-1974       58      0.01689  0.01675  0.50   79223    1327   78560  1330153  16.79
1970-1974       59      0.01836  0.01819  0.50   77896    1417   77188  1251594  16.07
1970-1974       60      0.02013  0.01993  0.50   76479    1524   75717  1174406  15.36
1970-1974       61      0.02238  0.02214  0.50   74955    1659   74126  1098689  14.66
1970-1974       62      0.02556  0.02523  0.50   73296    1849   72371  1024563  13.98
1970-1974       63      0.02889  0.02848  0.50   71446    2035   70429   952192  13.33
1970-1974       64      0.03171  0.03122  0.50   69412    2167   68328   881763  12.70
1970-1974       65      0.03507  0.03446  0.50   67245    2318   66086   813435  12.10
1970-1974       66      0.03892  0.03818  0.50   64927    2479   63688   747349  11.51
1970-1974       67      0.04304  0.04213  0.50   62448    2631   61133   683661  10.95
1970-1974       68      0.04742  0.04632  0.50   59818    2771   58432   622528  10.41
1970-1974       69      0.05236  0.05102  0.50   57047    2911   55591   564096   9.89
1970-1974       70      0.05784  0.05621  0.50   54136    3043   52615   508504   9.39
1970-1974       71      0.06297  0.06105  0.50   51093    3119   49533   455890   8.92
1970-1974       72      0.06815  0.06591  0.50   47974    3162   46393   406356   8.47
1970-1974       73      0.07443  0.07176  0.50   44812    3216   43204   359963   8.03
1970-1974       74      0.08124  0.07807  0.50   41597    3247   39973   316759   7.62
1970-1974       75      0.08860  0.08484  0.50   38349    3254   36722   276786   7.22
1970-1974       76      0.09806  0.09348  0.50   35096    3281   33455   240063   6.84
1970-1974       77      0.10789  0.10237  0.50   31815    3257   30187   206608   6.49
1970-1974       78      0.11723  0.11074  0.50   28558    3163   26977   176421   6.18
1970-1974       79      0.12738  0.11976  0.50   25396    3041   23875   149444   5.88
1970-1974       80      0.13316  0.12485  0.50   22354    2791   20959   125569   5.62
1970-1974       81      0.14281  0.13329  0.50   19563    2608   18260   104610   5.35
1970-1974       82      0.15178  0.14107  0.50   16956    2392   15760    86351   5.09
1970-1974       83      0.16206  0.14991  0.50   14564    2183   13472    70591   4.85
1970-1974       84      0.17366  0.15978  0.50   12381    1978   11391    57119   4.61
1970-1974       85      0.18315  0.16779  0.50   10402    1745    9530    45727   4.40
1970-1974       86      0.19429  0.17709  0.50    8657    1533    7890    36197   4.18
1970-1974       87      0.20697  0.18756  0.50    7124    1336    6456    28307   3.97
1970-1974       88      0.21986  0.19809  0.50    5788    1146    5215    21851   3.78
1970-1974       89      0.23233  0.20815  0.50    4641     966    4158    16637   3.58
1970-1974       90      0.24709  0.21992  0.50    3675     808    3271    12478   3.40
1970-1974       91      0.26587  0.23467  0.50    2867     673    2531     9207   3.21
1970-1974       92      0.28757  0.25142  0.50    2194     552    1918     6677   3.04
1970-1974       93      0.30907  0.26770  0.50    1643     440    1423     4758   2.90
1970-1974       94      0.32993  0.28321  0.50    1203     341    1032     3336   2.77
1970-1974       95      0.33792  0.28907  0.50     862     249     738     2303   2.67
1970-1974       96      0.35623  0.30238  0.50     613     185     520     1566   2.55
1970-1974       97      0.37498  0.31578  0.50     428     135     360     1045   2.44
1970-1974       98      0.39411  0.32923  0.50     293      96     244      685   2.34
1970-1974       99      0.41357  0.34271  0.50     196      67     163      441   2.25
1970-1974      100      0.43331  0.35615  0.50     129      46     106      278   2.16
1970-1974      101      0.45325  0.36951  0.50      83      31      68      172   2.07
1970-1974      102      0.47335  0.38276  0.50      52      20      42      105   2.00
1970-1974      103      0.49354  0.39586  0.50      32      13      26       62   1.92
1970-1974      104      0.51375  0.40875  0.50      20       8      16       36   1.86
1970-1974      105      0.53391  0.42141  0.50      12       5       9       21   1.79
1970-1974      106      0.55396  0.43381  0.50       7       3       5       12   1.74
1970-1974      107      0.57384  0.44590  0.50       4       2       3        6   1.69
1970-1974      108      0.59348  0.45767  0.50       2       1       2        3   1.64
1970-1974      109      0.61283  0.46909  0.50       1       1       1        2   1.61
1970-1974      110+     0.63183  1.00000  1.58       1       1       1        1   1.58
1975-1979        0      0.01308  0.01293  0.12  100000    1293   98866  6895949  68.96
1975-1979        1      0.00305  0.00305  0.50   98707     301   98557  6797083  68.86
1975-1979        2      0.00157  0.00156  0.50   98406     154   98329  6698526  68.07
1975-1979        3      0.00103  0.00103  0.50   98252     101   98202  6600197  67.18
1975-1979        4      0.00078  0.00078  0.50   98151      77   98113  6501995  66.24
1975-1979        5      0.00068  0.00068  0.50   98074      66   98041  6403883  65.30
1975-1979        6      0.00060  0.00060  0.50   98008      59   97978  6305842  64.34
1975-1979        7      0.00059  0.00059  0.50   97949      58   97920  6207863  63.38
1975-1979        8      0.00058  0.00058  0.50   97891      57   97862  6109944  62.42
1975-1979        9      0.00053  0.00053  0.50   97834      52   97808  6012081  61.45
