Ukraine,  Exposures (Lexis triangle)	Last modified: 03 Jan 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1959    0      1959   210492.19   222245.12   432737.31
 1959    0      1958   197026.10   207775.92   404802.03
 1959    1      1958   197124.39   207349.86   404474.25
 1959    1      1957   192777.68   202050.84   394828.51
 1959    2      1957   193908.00   203215.67   397123.67
 1959    2      1956   195248.78   204032.08   399280.86
 1959    3      1956   195643.84   204425.80   400069.64
 1959    3      1955   189871.16   198678.07   388549.23
 1959    4      1955   190218.91   199087.44   389306.35
 1959    4      1954   197658.55   206145.24   403803.79
 1959    5      1954   197635.52   206408.62   404044.14
 1959    5      1953   186336.41   194126.28   380462.69
 1959    6      1953   186296.13   194298.08   380594.21
 1959    6      1952   194337.23   203549.46   397886.69
 1959    7      1952   193837.46   203166.13   397003.59
 1959    7      1951   187006.42   195475.88   382482.30
 1959    8      1951   187217.03   195223.65   382440.68
 1959    8      1950   195930.54   203028.18   398958.72
 1959    9      1950   195261.35   201485.13   396746.47
 1959    9      1949   193241.42   198669.38   391910.79
 1959   10      1949   194303.65   198440.56   392744.21
 1959   10      1948   188754.90   194958.45   383713.36
 1959   11      1948   187586.58   192912.23   380498.80
 1959   11      1947   152535.45   157658.76   310194.21
 1959   12      1947   152877.81   157292.42   310170.23
 1959   12      1946   160901.47   165380.61   326282.08
 1959   13      1946   160450.20   164184.67   324634.87
 1959   13      1945   105804.09   109549.36   215353.45
 1959   14      1945   105435.33   108466.68   213902.01
 1959   14      1944   122392.14   124924.61   247316.74
 1959   15      1944   122385.53   124001.56   246387.09
 1959   15      1943   116901.50   117131.93   234033.43
 1959   16      1943   116554.40   116194.73   232749.13
 1959   16      1942   147466.95   146606.17   294073.11
 1959   17      1942   147112.91   145422.90   292535.80
 1959   17      1941   190705.43   187078.29   377783.72
 1959   18      1941   190819.60   186598.13   377417.72
 1959   18      1940   215704.04   210574.95   426278.99
 1959   19      1940   214384.14   208597.79   422981.93
 1959   19      1939   219240.58   214422.62   433663.20
 1959   20      1939   220727.11   214617.67   435344.78
 1959   20      1938   256138.95   234746.51   490885.45
 1959   21      1938   254918.70   233889.94   488808.64
 1959   21      1937   244321.40   235915.31   480236.71
 1959   22      1937   245455.00   236819.64   482274.64
 1959   22      1936   219575.24   205576.24   425151.47
 1959   23      1936   218713.69   205068.90   423782.59
 1959   23      1935   178107.83   179325.63   357433.45
 1959   24      1935   178159.78   178922.30   357082.08
 1959   24      1934   144301.17   145786.39   290087.56
 1959   25      1934   144253.65   145510.69   289764.34
 1959   25      1933   132718.12   126892.53   259610.65
 1959   26      1933   131941.83   126240.45   258182.28
 1959   26      1932   163281.23   149793.40   313074.63
 1959   27      1932   163351.27   149794.95   313146.22
 1959   27      1931   162988.87   154146.32   317135.19
 1959   28      1931   162892.28   154311.23   317203.52
 1959   28      1930   218393.65   200316.71   418710.36
 1959   29      1930   217724.90   199758.76   417483.66
 1959   29      1929   196774.59   178078.70   374853.28
 1959   30      1929   198054.83   179258.14   377312.97
 1959   30      1928   241270.69   209291.50   450562.19
 1959   31      1928   239706.26   207994.90   447701.16
 1959   31      1927   198884.78   176014.59   374899.37
 1959   32      1927   200445.65   177280.00   377725.65
 1959   32      1926   222116.20   169515.05   391631.25
 1959   33      1926   221463.18   168997.29   390460.46
 1959   33      1925   204810.80   145410.81   350221.61
 1959   34      1925   205208.10   145875.22   351083.32
 1959   34      1924   204920.44   136102.53   341022.97
 1959   35      1924   205583.44   136598.61   342182.05
 1959   35      1923   191443.09   124748.88   316191.97
 1959   36      1923   191229.24   124811.10   316040.33
 1959   36      1922   177936.72   107234.03   285170.75
 1959   37      1922   178118.38   107206.15   285324.53
 1959   37      1921   145973.79    94278.13   240251.92
 1959   38      1921   146518.58    94642.68   241161.25
 1959   38      1920   148391.56    92803.50   241195.07
