The United States of America, Life tables (period 5x10), Females	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1939        0      0.05344  0.05139  0.25  100000    5139   96167  6341625  63.42
1933-1939      1-4      0.00410  0.01621  1.41   94861    1538  375461  6245458  65.84
1933-1939      5-9      0.00135  0.00672  2.27   93323     627  464905  5869997  62.90
1933-1939     10-14     0.00110  0.00548  2.63   92696     508  462279  5405092  58.31
1933-1939     15-19     0.00194  0.00966  2.71   92188     891  458901  4942814  53.62
1933-1939     20-24     0.00281  0.01395  2.59   91298    1274  453416  4483913  49.11
1933-1939     25-29     0.00330  0.01636  2.54   90024    1473  446493  4030497  44.77
1933-1939     30-34     0.00374  0.01852  2.57   88551    1640  438773  3584004  40.47
1933-1939     35-39     0.00480  0.02373  2.58   86911    2062  429570  3145231  36.19
1933-1939     40-44     0.00589  0.02904  2.58   84849    2464  418291  2715661  32.01
1933-1939     45-49     0.00806  0.03954  2.63   82385    3257  404202  2297369  27.89
1933-1939     50-54     0.01146  0.05576  2.60   79128    4412  385069  1893168  23.93
1933-1939     55-59     0.01563  0.07534  2.61   74716    5629  360122  1508099  20.18
1933-1939     60-64     0.02345  0.11107  2.62   69086    7673  327190  1147977  16.62
1933-1939     65-69     0.03589  0.16521  2.60   61413   10146  282725   820787  13.37
1933-1939     70-74     0.05593  0.24622  2.57   51267   12623  225701   538062  10.50
1933-1939     75-79     0.08660  0.35599  2.50   38644   13757  158860   312361   8.08
1933-1939     80-84     0.12722  0.47869  2.42   24887   11913   93643   153502   6.17
1933-1939     85-89     0.19120  0.62795  2.27   12974    8147   42608    59859   4.61
1933-1939     90-94     0.25942  0.73593  2.06    4827    3552   13693    17250   3.57
1933-1939     95-99     0.34428  0.83607  1.92    1275    1066    3095     3557   2.79
1933-1939    100-104    0.44404  0.90509  1.73     209     189     426      462   2.21
1933-1939    105-109    0.54877  0.94681  1.54      20      19      34       36   1.81
1933-1939    110+       0.63320  1.00000  1.58       1       1       2        2   1.58
1940-1949        0      0.03726  0.03617  0.19  100000    3617   97075  6819367  68.19
1940-1949      1-4      0.00192  0.00764  1.49   96383     736  383682  6722292  69.75
1940-1949      5-9      0.00075  0.00373  2.30   95646     356  477271  6338610  66.27
1940-1949     10-14     0.00066  0.00331  2.66   95290     315  475714  5861339  61.51
1940-1949     15-19     0.00116  0.00577  2.70   94975     548  473612  5385626  56.71
1940-1949     20-24     0.00163  0.00811  2.57   94427     766  470271  4912013  52.02
1940-1949     25-29     0.00186  0.00924  2.57   93661     865  466197  4441742  47.42
1940-1949     30-34     0.00237  0.01180  2.61   92796    1095  461358  3975545  42.84
1940-1949     35-39     0.00317  0.01571  2.61   91700    1441  455062  3514187  38.32
1940-1949     40-44     0.00438  0.02169  2.63   90259    1958  446655  3059125  33.89
1940-1949     45-49     0.00619  0.03053  2.63   88302    2695  435129  2612470  29.59
1940-1949     50-54     0.00914  0.04472  2.63   85606    3829  418974  2177341  25.43
1940-1949     55-59     0.01324  0.06418  2.63   81778    5248  396440  1758367  21.50
1940-1949     60-64     0.01942  0.09280  2.61   76530    7102  365692  1361926  17.80
1940-1949     65-69     0.02954  0.13800  2.62   69427    9581  324374   996234  14.35
1940-1949     70-74     0.04851  0.21735  2.61   59846   13007  268120   671860  11.23
1940-1949     75-79     0.07729  0.32425  2.52   46839   15188  196516   403740   8.62
1940-1949     80-84     0.11578  0.44704  2.45   31651   14149  122205   207224   6.55
1940-1949     85-89     0.17747  0.60042  2.31   17502   10509   59214    85019   4.86
1940-1949     90-94     0.24883  0.72176  2.09    6993    5048   20285    25806   3.69
1940-1949     95-99     0.33737  0.83054  1.94    1946    1616    4790     5521   2.84
1940-1949    100-104    0.44267  0.90496  1.73     330     298     674      730   2.21
1940-1949    105-109    0.55368  0.94863  1.54      31      30      54       56   1.79
1940-1949    110+       0.64308  1.00000  1.56       2       2       3        3   1.56
1950-1959        0      0.02557  0.02502  0.15  100000    2502   97863  7235259  72.35
1950-1959      1-4      0.00111  0.00442  1.56   97498     431  388936  7137397  73.21
1950-1959      5-9      0.00045  0.00222  2.26   97066     216  484740  6748460  69.52
1950-1959     10-14     0.00037  0.00186  2.64   96851     180  483829  6263720  64.67
1950-1959     15-19     0.00064  0.00318  2.67   96671     308  482637  5779891  59.79
1950-1959     20-24     0.00082  0.00407  2.57   96363     393  480859  5297253  54.97
1950-1959     25-29     0.00101  0.00505  2.60   95970     484  478689  4816394  50.19
1950-1959     30-34     0.00137  0.00683  2.63   95486     653  475886  4337704  45.43
1950-1959     35-39     0.00200  0.00994  2.67   94834     943  471970  3861818  40.72
1950-1959     40-44     0.00307  0.01522  2.65   93891    1429  466103  3389848  36.10
1950-1959     45-49     0.00458  0.02266  2.66   92462    2095  457413  2923745  31.62
1950-1959     50-54     0.00706  0.03474  2.65   90367    3140  444456  2466332  27.29
1950-1959     55-59     0.01025  0.05002  2.63   87227    4363  425796  2021876  23.18
1950-1959     60-64     0.01562  0.07535  2.65   82864    6243  399653  1596080  19.26
1950-1959     65-69     0.02427  0.11470  2.62   76621    8789  362185  1196427  15.61
1950-1959     70-74     0.03921  0.17937  2.63   67832   12167  310304   834242  12.30
1950-1959     75-79     0.06477  0.27967  2.56   55666   15568  240373   523938   9.41
1950-1959     80-84     0.10143  0.40449  2.50   40097   16219  159907   283566   7.07
1950-1959     85-89     0.16028  0.56121  2.33   23878   13401   83611   123659   5.18
1950-1959     90-94     0.23732  0.70920  2.16   10478    7431   31311    40047   3.82
1950-1959     95-99     0.33238  0.82710  1.96    3047    2520    7582     8736   2.87
1950-1959    100-104    0.44730  0.90832  1.73     527     479    1070     1154   2.19
1950-1959    105-109    0.56857  0.95330  1.51      48      46      81       84   1.75
1950-1959    110+       0.66555  1.00000  1.50       2       2       3        3   1.50
1960-1969        0      0.02129  0.02090  0.13  100000    2090   98180  7386597  73.87
1960-1969      1-4      0.00089  0.00354  1.58   97910     347  390801  7288417  74.44
1960-1969      5-9      0.00038  0.00188  2.26   97563     184  487311  6897616  70.70
1960-1969     10-14     0.00031  0.00154  2.62   97379     150  486540  6410304  65.83
1960-1969     15-19     0.00057  0.00284  2.72   97230     276  485518  5923764  60.93
1960-1969     20-24     0.00071  0.00356  2.55   96953     345  483924  5438246  56.09
1960-1969     25-29     0.00087  0.00435  2.60   96608     420  482034  4954322  51.28
1960-1969     30-34     0.00123  0.00613  2.66   96188     589  479564  4472289  46.50
1960-1969     35-39     0.00184  0.00915  2.66   95599     875  475952  3992725  41.77
1960-1969     40-44     0.00279  0.01384  2.66   94724    1311  470558  3516773  37.13
1960-1969     45-49     0.00425  0.02104  2.66   93413    1965  462469  3046215  32.61
1960-1969     50-54     0.00633  0.03119  2.63   91448    2852  450482  2583746  28.25
1960-1969     55-59     0.00901  0.04410  2.65   88596    3907  433790  2133264  24.08
1960-1969     60-64     0.01419  0.06866  2.64   84689    5815  409726  1699474  20.07
1960-1969     65-69     0.02160  0.10269  2.61   78874    8099  374994  1289748  16.35
1960-1969     70-74     0.03418  0.15815  2.64   70775   11193  327426   914754  12.92
1960-1969     75-79     0.05761  0.25299  2.59   59582   15074  261627   587328   9.86
1960-1969     80-84     0.09468  0.38338  2.52   44508   17063  180225   325701   7.32
1960-1969     85-89     0.15403  0.54788  2.37   27445   15036   97618   145477   5.30
1960-1969     90-94     0.23327  0.70357  2.18   12408    8730   37425    47858   3.86
1960-1969     95-99     0.33578  0.83119  1.96    3678    3057    9105    10433   2.84
1960-1969    100-104    0.45848  0.91451  1.71     621     568    1239     1328   2.14
1960-1969    105-109    0.58702  0.95826  1.49      53      51      87       90   1.69
1960-1969    110+       0.68863  1.00000  1.45       2       2       3        3   1.45
