The United States of America, Life tables (period 5x5), Males	Last modified: 17 Mar 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1934        0      0.07225  0.06860  0.26  100000    6860   94950  5874399  58.74
1933-1934      1-4      0.00540  0.02129  1.40   93140    1983  367404  5779449  62.05
1933-1934      5-9      0.00180  0.00896  2.33   91157     817  453599  5412045  59.37
1933-1934     10-14     0.00154  0.00767  2.60   90339     693  450036  4958446  54.89
1933-1934     15-19     0.00250  0.01243  2.68   89647    1115  445652  4508410  50.29
1933-1934     20-24     0.00351  0.01738  2.57   88532    1539  438922  4062758  45.89
1933-1934     25-29     0.00391  0.01936  2.53   86993    1684  430816  3623836  41.66
1933-1934     30-34     0.00469  0.02320  2.60   85310    1979  421790  3193020  37.43
1933-1934     35-39     0.00614  0.03025  2.58   83330    2521  410543  2771231  33.26
1933-1934     40-44     0.00789  0.03871  2.61   80809    3128  396587  2360688  29.21
1933-1934     45-49     0.01126  0.05482  2.62   77682    4259  378278  1964101  25.28
1933-1934     50-54     0.01573  0.07579  2.58   73423    5565  353660  1585823  21.60
1933-1934     55-59     0.02116  0.10070  2.61   67858    6833  322960  1232163  18.16
1933-1934     60-64     0.03182  0.14770  2.58   61025    9014  283280   909203  14.90
1933-1934     65-69     0.04467  0.20154  2.58   52011   10482  234664   625923  12.03
1933-1934     70-74     0.07011  0.29855  2.52   41529   12398  176846   391259   9.42
1933-1934     75-79     0.09885  0.39532  2.47   29131   11516  116501   214412   7.36
1933-1934     80-84     0.14930  0.53531  2.36   17615    9429   63155    97911   5.56
1933-1934     85-89     0.21400  0.66965  2.21    8185    5481   25614    34756   4.25
1933-1934     90-94     0.27719  0.75544  1.99    2704    2043    7369     9142   3.38
1933-1934     95-99     0.36082  0.84920  1.88     661     562    1556     1773   2.68
1933-1934    100-104    0.45326  0.90899  1.71     100      91     200      216   2.17
1933-1934    105-109    0.54926  0.94640  1.54       9       9      16       16   1.81
1933-1934    110+       0.62653  1.00000  1.60       0       0       1        1   1.60
1935-1939        0      0.06633  0.06317  0.24  100000    6317   95228  5957332  59.57
1935-1939      1-4      0.00441  0.01746  1.42   93683    1636  370515  5862104  62.57
1935-1939      5-9      0.00159  0.00789  2.34   92047     727  458301  5491589  59.66
1935-1939     10-14     0.00142  0.00706  2.62   91321     644  455072  5033288  55.12
1935-1939     15-19     0.00235  0.01170  2.69   90676    1060  450931  4578216  50.49
1935-1939     20-24     0.00322  0.01596  2.56   89616    1430  444594  4127285  46.06
1935-1939     25-29     0.00365  0.01809  2.54   88186    1596  437007  3682691  41.76
1935-1939     30-34     0.00434  0.02146  2.59   86590    1858  428474  3245684  37.48
1935-1939     35-39     0.00589  0.02904  2.62   84732    2460  417793  2817210  33.25
1935-1939     40-44     0.00786  0.03859  2.60   82272    3175  403734  2399418  29.16
1935-1939     45-49     0.01099  0.05357  2.63   79097    4237  385426  1995684  25.23
